"公告内容成功","Nội dung thông báo thành công"
"您没有改变公告文字","Bạn chưa sửa nội dung"
"修改","Sửa"
"公告成功","Thông báo thành công"
"全服修改公告成功","Sửa thông báo all server thành công"

"封号取消","Hủy khóa t.khoản"
"禁言取消","Hủy cấm chat"
"封 号","Khóa t.khoản"
"禁 言","Cấm chat"

"每日数据","Dữ liệu hàng ngày"

"第一种类型的POST查找，以下三个参数至少选择一个","Tìm POST loại 1, phải trong 1 trong 3 loại"
"还有呢？","Còn không?"
"好的","Được"
"我知道了!","OK!"

"在线玩家","User online"
"在线人数","Số người online"

"玩家的详细信息","Thông tin chi tiết user"
"关闭","Đóng"
"封号","Khóa t.khoản"
"禁言","Cấm chat"
"工会详细信息","T.tin chi tiết bang"
"查看玩家","Tra user"
"玩家邮箱","Thư user"
"竞技场排行榜","BXH Đấu Trường"
"战斗力排行榜","BXH Chiến Lực"
"星级排行榜","BXH Cấp Sao"
"训兽排行榜","BXH Luyện Thú"
"试炼排行榜","BXH Thí Luyện"
"工会排行榜","BXH Bang"

"累计激活","Tích lũy kích hoạt"
"累计注册账户","Tích lũy t.khoản đăng nhập"
"累计付费账户","Tích lũy t.khoản trả phí"
"累计收入","Tích lũy thu nhập"
"设备","Thiết bị"
"账户","T.khoản"

"充值图","Bảng nạp"
"充值额","Số tiền nạp"

"确定吗？","Quyết định?"
"取消","Hủy"
"确定","OK"
"发送","Gửi"
"发送失败","Gửi thất bại"
"恭喜","Chúc mừng"
"发送成功","Gửi thành công"
"份邮件发送成功","Gửi thư thành công"
"份邮件发送失败","Gửi thư thành công"
"失败ID是：","ID thất bại là:"
"请输入ID","Mời nhập ID"
"真！全服玩家邮件","Thư all server"
"真！全局玩家邮件","Thư toàn bộ user"
"全服指定vip邮件","Thư VIP chỉ định all server"
"玩家邮件","Thư user"
"单服玩家邮件","Thư user 1 server"
"单服全局邮件","Thư toàn bộ user trong 1 server"
"工会邮件","Thư bang"
"新玩家邮件","Thư user mới"
"指定VIP邮件","Thư VIP chỉ định"
"开发中-指定VIP邮件","Đang phát triển-Thư VIP chỉ định"
"查询角色","Tra nhân vật"
"至","Đến"
"你要发送的是","Bạn cần gửi là"

"交互接口","Port thay đổi"
"活动ID","ID s.kiện"
"邮件ID","ID thư"
"角色状态","Trạng thái n.vật"
"前","Trước"
"后","Sau"
"开始日期时间","Ngày bắt đầu và thời gian"
"结束日期时间","Ngày kết thúc và thời gian"

"请求类","Loại yêu cầu"
"获得类","Loại nhận được"
"邮件类","Loại thư"
"消耗类","Loại tiêu hao"
"限时活动类","Loại s.kiện thời hạn"
"非请求类","Không phải loại yêu cầu"
"显示运营活动名称","Hiển thị tên sk vận hành"

"成功","Thành công"
"生成","Tạo"
"断网了吗","Lỗi mạng"
"默认为空，即全服。指定服务器用;分隔，如game01;game02","Mặc định trống là all server. Server chỉ định dùng ; phân cách, VD game01;game02"
"导出txt文件","Xuất file txt"

"区服","Tên game"
"角色ID","ID nhân vật"
"角色名","Tên nhân vật"
"等级","Cấp nhân vật"
"VIP","VIP, nhân vật/người chơi VIP"
"类型","Loại"
"聊天内容","tin nhắn"
"时间","thời gian"
"封号、禁言","cấm"
"账号ID","ID tài khoản "
"VIP","Cấp VIP, VIP"
"金币","Vàng"
"钻石","Kim cương"
"充值次数","Số lượng nạp"
"体力","Năng lượng"
"创建时间","Thời gian tạo.."
"最近操作时间","Thời gian cuối cùng"
"渠道账号","Tên tài khoản"
"VIP","VIP"
"封号","Vô hiệu quá"
"禁言","Khóa chat"
"金币","vàng"
"钻石","Kim cương"
"QQ托管钻石","QQ quản lý Kim cương"
"QQ充值总额",""
"充值次数","Nạp tiền"
"充值总额","Tổng thanh toán"
"钻石消耗","tiêu thụ kim cương"
"竞技场币","Tiêền tệ trong đấu trường"
"远征币",""
"公会币",""
"合金精华",""
"探索币",""
"跨服矿战币",""
"公会ID","ID quân đoàn"
"最高塔层","Tháp cao nhất????"
"卡牌数排行","xếp hạng thẻ"
"战力排行","đấu hạng"
"星级排行","Xếp hạng sao"
"单卡战斗力排行",""
"竞技场排行","xếp hạng đấu trường"
"成就排行","thành tựu"
"星座排行",""
"体力","thể lực"
"创建时间",""
"最近操作时间",""
"在线",""
"所有区服",""
"天赋点",""
"技能点","điểm kĩ năng"
"先手值",""
"成就先手值",""
"觉醒碎片",""
"卡牌数","thẻ"
"道具数","vật phẩm"
"碎片数","mảnh"
"皮肤",""
"卡牌进阶次数",""
"卡牌升星次数",""
"已领取礼包","quà"
"新手引导","hướng dẫn tân thủ"
"加入公会时间",""
"退出公会时间",""
"最近公会操作时间",""
"天赋树","cây thần"
"神器",""
"邮件ID","Mail ID"
"标题","chủ đề"
"发送时间","thời gian gửi"
"发件人","người gửi"
"内容","nội dung"
"附件","đính kèm"
"是否已读","đã đọc"
"总贡献值","tổng giá trị đóng góp"
"当日贡献","Đóng góp ngày"
"加入类型",""
"加入等级限制","Tham gia - cấp độ"
"ID",""
"活动图标",""
"活动分类",""
"活动按钮角标",""
"是否独立icon","độc lập"
"type",""
"名称",""
"名称2",""
"活动简介",""
"繁体活动简介",""
"英文活动简介",""
"activityDesc活动右侧的说明",""
"活动右侧的说明",""
"繁体活动右侧的说明",""
"英文活动右侧的说明",""
"活动右边子面板标题图",""
"活动开放日期简介",""
"显示类型",""
"客户端参数","Tham số"
"空白",""
"开放周期",""
"活动版本ID",""
"计数类型",""
"开启类型",""
"开始日期","Ngày bắt đầu"
"开始时间","Thời gian bắt đầu"
"截止日期","Ngày hết hạn"
"截止时间","Thời gian kết thúc/ Hạn cuối"
"周期开启序列","Mở thời lượng"
"周期开启序列","Chu trình mở"
"持续小时","Thời gian mở"
"持续的相对天数","Phạm vi liên quan"
"最低等级限制","Cấp độ ít nhất"
"最低VIP限制","Cấp độ VIP ít nhất"
"生效的开服时间区间","Thời gian hiệu quả để mở khoảng thời gian phục vụ"
"开服时间限制","Giới hạn thời gian mở"
"创角时间限制","giới hạn nhân vật"
"服务器","máy chủ"
"语言区域","Ngôn ngữ"
"是否激活","kích hoạt"
"说明","Giải thích"
"排序值","Sắp xếp giá trị"
"提示性红点","Dấu chấm đỏ gợi ý"
"程序","chương trình"
"行为","hành động/hành vi"
"新增","đã thêm"
"三天内未登录","Ba ngày không đăng nhập"
"五天内未登录","5 ngày không đăng nhập"
"1日总付费"," tổng số thanh toán trong 1 ngày"
"1日LTV","1 ngày LTV"
"7日总付费"," tổng số thanh toán trong 7 ngày"
"7日LTV","7 ngày LTV"
"14日总付费","Tổng số tiền thanh toán 14 ngày"
"14日LTV","14 ngày LTV"
"30日总付费","Tổng số tiền thanh toán 30 ngày"
"30日LTV","30 ngày LTV"
"60日总付费","Tổng số tiền thanh toán 60 ngày"
"60日LTV","60 ngày LTV"
"90日总付费","Tổng số tiền thanh toán 90 ngày"
"90日LTV","90 ngày LTV"
"排名",""
"战力","Sức mạnh chiến đấu"
"先手值","tốc độ"
"战斗力","chiến đấu"
"关卡星级","Sao cấp"
"工会","Tên quân đoàn"
"卡牌数",""
"塔层","Tháp"
"工会名","Tên bang"
"工会人数","thành viên"
"工会简介","Giới thiệu"
"总贡献值","Tổng đóng góp"
"加入类型",""
"新增账号",""
"登录账号",""
"付费账号",""
"付费总额",""
"付费率",""
"新增付费账号",""
"新增付费总额",""
"新增付费率",""
"首次付费账号","Tài khoản trả trước"
"分渠道","Kênh phụ"
"次留(率)","R2"
"3留(率)","R3"
"4留(率)","R4"
"5留(率)","R5"
"6留(率)","R6"
"7留(率)","R7"
"15留(率)","R15"
"30留(率)","R30"
"60留(率)","R60"
"90留(率)","R90"
"180留(率)","R180"
"创建日期",""
"工会ID","Quân đoàn ID"
"工会名称","Tên QĐ"
"工会等级","Level QĐ"
"当前经验值","kinh nghiệm QĐ"
"工会当前人数","Số lượng thành viên QĐ"
"战斗力","Chiến lực QĐ"
"工会详情","Chi tiết QĐ"
"渠道","Kênh"
"服务器","Máy chủ"
"渠道订单号","Số thứ tự kênh"
"渠道","Kênh"
"充值金额","Số KC nạp"
"充值钻石","KC"
"充值次数","thời gian nạp tiền"
"最近充值时间","Thời gian nạp gần đây"
"子渠道","Kênh phụ"
"充值金额","Số tiền nạp"
"充值钻石","Kim cương"
"充值次数","Số lần nạp"
"最近充值时间","Lần nạp gần đây"
"占总充值比","Tỉ lệ, tỉ lệ nạp tiền"
"最近登陆时间","Lần đăng nhập gần đây, Lần đăng nhập cuối cùng"

"购买经验药水","Mua Thuốc EXP"
"保存布阵阵容","Lưu đội hình"
"保存上阵阵容","Lưu đội hình"
"通用卡牌缩略信息(排行榜等)","Thông tin thẻ thường dùng (BXH)"
"关卡结束","Kết thúc ải"
"装备觉醒碎片兑换","Đổi mảnh thức tỉnh t.bị"
"装备觉醒碎片商店购买","Mua trong Shop mảnh thức tỉnh t.bị"
"装备觉醒碎片商店获取","Nhận trong Shop mảnh thức tỉnh t.bị"
"固定商店购买","Mua trong Shop cố định"
"获取固定商店数据","Dữ liệu nhận trong Shop cố định"
"刷新固定商店","Làm mới Shop"
"领取礼包","Nhận quà"
"保存活动布阵阵容","Lưu đội hình bày trận s.kiện"
"保存活动上阵阵容","Lưu đội hình ra trận s.kiện"
"游戏登陆","Đăng nhập game"
"神秘商店购买","Mua trong Shop Thần Bí"
"神秘商店获得","Nhận trong Shop Thần Bí"
"刷新神秘商店","Làm mới Shop Thần Bí"
"排行榜排名","Xếp hạng"
"通用玩家缩略信息(排行榜等)","Thông tin user thông dụng (BXH)"
"扫荡","Quét"
"关卡战斗开始","Bắt đầu chiến đấu ải"
"游戏同步","Đồng bộ game"
"领取/购买VIP周礼包","Nhận/Mua quà VIP tuần"
"天赋刷新","Làm mới Thiên Phú"
"天赋升级","Nâng cấp Thiên Phú"
"天赋重置","Reset Thiên Phú"
"领取成就奖励","Nhận thưởng thành tích"
"星座购买","Mua chòm sao"
"星座使用","Sử dụng chòm sao"
"万能碎片转换","Đổi mảnh vạn năng"
"一键领取日常任务奖励","Nhận nhanh thưởng n.vụ ngày"
"领取日常任务奖励","Nhận thưởng n.vụ ngày"
"碎片合成","Ghép mảnh"
"出售碎片","Bán mảnh"
"领取关卡星级奖励","Nhận thưởng cấp sao ải"
"使用可选择道具（礼包类）","Sử dụng được nhận đạo cụ (Loại quà)"
"购买重置英雄关卡","Mua reset ải anh hùng"
"出售道具","Bán đạo cụ"
"使用道具","Dùng đạo cụ"
"炼金","Luyện kim"
"领取活跃度阶段奖励","Nhận thưởng giai đoạn sôi nổi"
"一键领取活跃度任务奖励","Nhận nhanh thưởng n.vụ sôi nổi"
"领取活跃度任务奖励","Nhận thưởng n.vụ sôi nổi"
"更换头像","Đổi avatar"
"获取阅读邮件内容","Nhận nội dung thư"
"领取邮件奖励或者已阅读邮件","Nhận thưởng thư hoặc đã đọc thư"
"一键读邮件","Đọc đồng loạt thư"
"领取主线任务奖励","Nhận thưởng n.vụ chính"
"新手引导","Hướng dẫn tân thủ"
"新手引导默默发奖励","Gửi thưởng khi hướng dẫn tân thủ"
"领取在线礼包","Nhận quà online"
"角色溢出经验兑换","Đổi EXP nhân vật"
"角色个性签名","Chữ ký nhân vật"
"充值（内部测试用）","Nạp (Test nội bộ)"
"角色重命名","Domian nhân vật"
"分享","Chia sẻ"
"累积签到领取奖励","Tích lũy đăng nhập nhận thưởng"
"累积签到领取奖励","Tích lũy đăng nhập nhận thưởng"
"购买技能点数","Mua điểm kỹ năng"
"购买体力","Mua thể lực"
"使用体力药水","Dùng Thuốc Thể Lực"
"领取成就奖励","Nhận thưởng thành tựu"
"切换头衔","Đổi danh hiệu"
"领取关卡星级奖励","Nhận thưởng cấp sao ải"
"购买vip礼包","Mua quà VIP"
"卡牌进阶","Tiến bậc thẻ"
"合体","Hợp thể"
"合体数码兽碎片兑换","Đổi mảnh digimon hợp thể"
"购买合体数码兽碎片兑换次数","Mua lượt đổi mảnh digimon hợp thể"
"卡牌进化关卡战斗","Chiến đấu ải tiến bậc thẻ"
"卡牌进化关卡战斗","Chiến đấu ải tiến bậc thẻ"
"卡牌使用经验药水","Thuốc EXP dùng thẻ"
"卡牌使用经验药水","Thuốc EXP dùng thẻ"
"卡牌好感度进阶","Tiến hóa Điểm Thiện Cảm thẻ"
"卡牌好感度使用道具","Sử dụng đạo cụ độ thiện cảm thẻ"
"好感一键最大","Thiện cảm tối đa"
"卡牌斗魂用钻石升级","Dùng KC nâng cấp đấu hồn thẻ"
"卡牌斗魂升级","Nâng cấp đấu hồn thẻ"
"卡牌基因升级","Nâng cấp mã gen thẻ"
"卡牌基因技能替换","Đổi kỹ năng mã gen thẻ"
"卡牌基因解锁","Mở khóa mã gen thẻ"
"卡牌重生","Hồi sinh thẻ"
"卡牌技能升级","Nâng cấp kỹ năng thẻ"
"购买皮肤","Mua skin"
"使用皮肤","Dùng skin"
"卡牌升星","Tăng sao thẻ"
"装备升级","Nâng cấp t.bị"
"装备降星","Giảm sao t.bị"
"装备升星","Tăng sao t.bị"
"装备强化","Cường hóa t.bị"
"装配经验强化","Cường hóa EXP t.bị"
"合金进阶","Tiến cấp hợp kim"
"合金熔炼","Luyện hợp kim"
"合金矩阵领奖","Nhận thưởng ma trận hợp kim"
"合金矩阵一键领奖","Nhận thưởng nhanh ma trận hợp kim"
"合金一键放置","Sử dụng nhanh hợp kim"
"合金一键强化","Cường hóa nhanh hợp kim"
"合金一键卸下","Gỡ nhanh hợp kim"
"合金放置","Sử dụng hợp kim"
"合金强化","Cường hóa hộ kim"
"合金卸下","Gỡ hợp kim"
"购买排位赛次数","Mua lượt Đấu Xếp Hạng"
"购买排位赛冷却时间","Mua CD Đấu Xếp Hạng"
"排位战斗结束","Kết thúc chiến Đấu Xếp Hạng"
"排位赛战斗信息","Thông tin chiến Đấu Xếp Hạng"
"道具增加排位赛次数","Đạo cụ tăng lượt Đấu Xếp Hạng"
"竞技场一键挑战","Khiêu chiến nhanh Đấu Trường"
"领取排位赛积分奖励","Nhận thưởng tích điểm Đấu Xếp Hạng"
"领取排位赛排名奖励","Nhận thưởng hạng Đấu Xếp Hạng"
"排位战斗开始","Bắt đầu chiến đấu xếp hạng"
"获取排位赛录像数据","Nhận dữ liệu quay video Đấu Xếp Hạng"
"竞技场积分商店购买","Mua trong Shop Điểm Đấu Trường"
"获取竞技场积分商店数据","Nhận dữ liệu Shop Điểm Đấu Trường"
"刷新竞技场积分商店","Làm mới Shop Điểm Đấu Trường"
"获取竞技场积分商店刷新数据","Nhận dữ liệu làm mới Shop Đấu Trường"
"竞技场膜拜","Hành lễ Đấu Trường"
"抽卡","Quay thẻ"
"抽装备","Quay t.bị"
"抽合金","Quay hợp kim"
"结束活动","Kết thúc s.kiện"
"活动扫荡","Quét s.kiện"
"打开活动界面","Mở giao diện s.kiện"
"开始活动","Mở sự kiện"
"远征积分商店购买","Mua trong Shop Điểm Viễn Chinh"
"获取远征积分商店数据","Nhận dữ liệu Shop Điểm Viễn Chinh"
"刷新远征积分商店","Làm mới Shop Điểm Viễn Chinh"
"获取远征积分商店刷新数据","Nhận dữ liệu làm mới Shop Điểm Viễn Chinh"
"远征买buff","Viễn Chinh mua buff"
"远征结束","Kết thúc Viễn Chinh"
"远征下一层","Tầng tiếp theo Viễn Chinh"
"远征节点奖励","Thưởng cứ điểm Viễn Chinh"
"远征跳过","Bỏ qua Viễn Chinh"
"准备远征","Chuẩn bị Viễn Chinh"
"一键跳过购买宝箱","Bỏ qua nhanh mua Rương"
"一键跳过购买buff","Bỏ qua nhanh mua buff"
"一键跳过","Bỏ qua nhanh"
"一键跳过结束","Bỏ qua nhanh kết thúc"
"远征开始","Bỏ qua Viễn Chinh"
"领取累积积分奖励","Nhận thưởng tích điểm"
"2048购买挑战次数","2048 mua lượt khiêu chiến"
"2048结束游戏","2048 kết thúc game"
"2048积分成就奖励","2048 thưởng thành tựu tích điểm"
"2048保存游戏","2048 lưu game"
"2048开始游戏","2048 bắt đầu game"
"2048使用锤子","2048 dùng búa"
"打砖块购买挑战次数","Đỡ bóng mua lượt khiêu chiến"
"打砖块结束游戏","Đỡ bóng kết thúc game"
"打砖块积分成就奖励","Đỡ bóng thưởng thành tựu tích điểm"
"打砖块开始游戏","Đỡ bóng bắt đầu game"
"砸金蛋","Đập Trứng Vàng"
"吃掉绿块购买挑战次数","Ăn khối xanh mua lượt khiêu chiến"
"吃掉绿块结束游戏","Ăn khối xanh kết thúc game"
"吃掉绿块积分成就奖励","Ăn khối xanh thưởng thành tựu tích điểm"
"吃到绿块开始游戏","Ăn khối xanh bắt đầu game"
"获取可用的运营活动","Nhận s.kiện vận hành được dùng"
"获取活动奖励","Nhận thưởng sự kiện"
"draw","draw"
"获取战力排行","Nhận xếp hạng chiến lực"
"获取开服活动全目标奖励","Nhận thưởng toàn mục tiêu s.kiện mở sv"
"下100层购买挑战次数","100 tầng mua lượt khiêu chiến"
"下100层结束游戏","100 tầng kết thúc game"
"下100层积分成就奖励","100 tầng thưởng thành tựu tích điểm"
"下100层开始游戏","100 tầng bắt đầu game"
"等级基金购买","Mua quỹ cấp"
"限时宝箱","Rương thời hạn"
"对限时宝箱打开做特殊处理","Mở xử lý đặc biệt với Rương thời hạn"
"限时宝箱 领取积分奖励","Rương thời hạn  Nhận thưởng tích điểm"
"购买排位赛次数","Mua lượt Đấu Xếp Hạng"
"世界boss结束战斗","Chiến đấu kết thúc boss thế giới"
"世界boss开始战斗","Chiến đấu bắt đầu boss thế giới"
"会长将副会长降级为成员","Bang chủ giáng cấp bang phó thành hội viên"
"会长提拔会员为副会长","Bang chủ đề bạt hội viên thành bang phó"
"会长转让","Chuyển nhượng bang chủ"
"公会贡献","Cống hiến bang"
"创建公会","Tạo bang"
"公会解散","Giải tán bang"
"快速加入公会","Gia nhập nhanh bang"
"公会检索","Tìm kiếm bang"
"领取公会副本奖励","Nhận thưởng ưu đãi bang"
"一键领取公会副本奖励","Nhận nhanh thưởng ưu đãi bang"
"结束挑战公会副本","Kết thúc khiêu chiến PB Bang"
"获取全公会副本进度数据","Nhận dữ liệu tiến độ PB Bang"
"挑战公会副本","Khiêu chiến PB Bang"
"领取公会活动奖励","Nhận thưởng s.kiện bang"
"公会修改公告","Sửa thông báo bang"
"申请加入公会","Yêu cầu gia nhập bang"
"会长或副会长批准入会","Bang chủ hoặc bang phó xét duyệt gia nhập"
"取消加入公会","Hủy gia nhập bang"
"公会修改加入等级条件和logo","Sửa logo và điều kiện gia nhập bang"
"会长或副会长拒绝入会","Bang chủ hoặc bang phó từ chối gia nhập"
"会长或副会长拒绝入会","Bang chủ hoặc bang phó từ chối gia nhập"
"公会招募","Kêu gọi gia nhập bang"
"会长或副会长踢人","Bang chủ hoặc bang phó loại bỏ"
"公会列表","Danh sách bang"
"工会扭蛋奖励","Thưởng trứng vàng bang"
"工会扭蛋","Trứng vàng bang"
"玩家退会","User rời bang"
"公会红包个别信息","Thông tin từng lì xì bang"
"获取红包信息","Thông tin nhận lì xì"
"公会抢红包","Tranh lì xì bang"
"公会玩家发红包","User bang phát lì xì"
"公会改名","Sửa tên bang"
"公会发邮件","Gửi thư bang"
"公会积分商店购买","Mua trong shop tích điểm bang"
"获取公会积分商店数据","Nhận dữ liệu Shop tích điểm bang"
"刷新公会积分商店","Làm mới shop tích điểm bang"
"获取公会积分商店刷新数据","Nhận thông tin làm mới Shop tích điểm bang"
"公会雪球游戏奖励","Thưởng game Cầu Tuyết bang"
"公会雪球游戏一键领取奖励","Nhận thưởng nhanh game Cầu Tuyết bang"
"公会训练所社团营地列表","Danh sách nơi huấn luyện Bang"
"公会训练所开启","Mở nơi huấn luyện bang"
"公会训练所训练替换","Thay thế nơi huấn luyện bang"
"公会训练所查看他人营地","Tra doanh địa người khác"
"工会训练所随机加速","Tăng tốc tùy ý nơi huấn luyện bang"
"公会训练所训练放置","Sử dụng nơi huấn luyện"
"加入黑名单","Add black list"
"接受好友请求","Chấp nhận yêu cầu Bạn Bè"
"申请好友请求","Yêu cầu Bạn Bè"
"删除好友","Xóa Bạn Bè"
"好友信息","Thông tin Bạn Bè"
"换一批申请列表","Đổi danh sách yêu cầu"
"领取好友体力","Nhận thể lực Bạn Bè"
"拒绝好友请求","Từ chối yêu cầu Bạn Bè"
"好友列表","Danh sách Bạn Bè"
"赠送好友体力","Tặng thể lực Bạn Bè"
"从黑名单中移除","Xóa trong Black list"
"聊天","Chat"
"神器离开页面","Giao diện rời khỏi thần khí"
"放弃保存神器","Hủy lưu thần khí"
"培养神器","Bồi dưỡng thần khí"
"培养神器十次","Bồi dưỡng thần khí 10 lần"
"打开神器系统","Mở hệ thống thần khí"
"保存神器","Lưu thần khí"
"神器，可以选择的保存","Thần khí, có thể chọn"
"解锁神器","Mở khóa thần khí"
"结束战斗","Kết thúc chiến đấu"
"开始战斗","Bắt đầu chiến đấu"
"创建房间","Tạo phòng"
"部署克隆人上阵卡牌","Bố trí thẻ Người Nhân Bản"
"挑战胜利宝箱","Rương thắng khiêu chiến"
"快速加入房间","Gia nhập nhanh phòng"
"获取克隆人数据","Nhận dữ liệu Người Nhân Bản"
"克隆人挑战邀请","Yêu cầu khiêu chiến Người Nhân Bản"
"快速加入房间","Gia nhập nhanh phòng"
"踢出房间","Loại khỏi phòng"
"退出房间","Thoát khỏi phòng"
"是否快速加入房间","Có muốn vào phòng nhanh"
"王者挑战部署","Bố trí khiêu chiến bá vương"
"王者之战获取对方参赛信息","Chiến bá vương nhận thông tin kẻ địch"
"竞技场战斗开始","Bắt đầu chiến đấu Đầu Trường"
"下注","Đặt cược"
"我的下注","Đặt cược của tôi"
"获取录像数据","Nhận dữ liệu video"
"商店兑换","Đổi trong Shop"
"王者报名","Đăng ký bá vương"
"工会战挑战部署","Bố trí khiêu chiến Bang Chiến"
"工会战主赛场","Trận chính Bang Chiến"
"工会战下注","Đặt cược Bang Chiến"
"工会战我的下注","Được cược Bang Chiến của tôi"
"工会战获取布阵卡牌","Nhận thẻ bày trận Bang Chiến"
"工会战获取录像数据","Nhận dữ liệu video Bang Chiến"
"工会战获取布阵卡牌","Nhận thẻ bày trận Bang Chiến"
"工会战商店兑换","Đổi trong Shop Bang Chiến"
"工会战报名","Đăng ký Bang Chiến"
"工会战昨日战况","Chiến báo hôm qua Bang Chiến"
"跨服王者挑战部署","Bố trí Bá Vương Liên Server"
"跨服王者获取对方参赛信息","Nhận thông tin đối thủ Bá Vương Liên Server"
"跨服王者主赛场","Trận chính Bá Vương Liên Server"
"跨服王者下注","Đặt cược Bá Vương Liên Server"
"跨服王者我的下注","Đặt cược Bá Vương Liên Sv của tôi"
"跨服王者获取录像数据","Nhận dữ liệu video Bá Vương Liên Sv"
"跨服王者获取录像数据","Nhận dữ liệu video Bá Vương Liên Sv"
"跨服王者商店兑换","Đổi trong Shop Bá Vương Liên Sv"
"跨服王者报名","Đăng ký Bá Vương Liên Sv"
"跨服矿战buff喂养","Nuôi dưỡng buff Chiến Mỏ Liên Sv"
"跨服矿战布阵","Bày trận Chiến Mỏ Liên Sv"
"跨服矿战获取对方参赛信息","Nhận thông tin đối thủ Chiến Mỏ Liên Sv"
"跨服矿战进入主界面","Vào giao diện chính Chiến Mỏ Liên Sv"
"跨服矿战获取录像数据","Nhận dữ liệu video Chiến Mỏ Liên Sv"
"跨服矿战获取排行榜","Nhận BXH Chiến Mỏ Liên Sv"
"跨服矿战购买报仇次数","Mua lượt báo thù Chiến Mỏ Liên Sv"
"跨服矿战抢矿","Cướp Mỏ Chiến Mỏ Liên Sv"
"跨服矿战购买抢夺次数","Mua lượt Cướp Chiến Mỏ Liên Sv"
"跨服矿战抢矿","Cướp Mỏ Chiến Mỏ Liên Sv"
"跨服矿战商店购买","Mua trong Shop Chiến Mỏ Liên Sv"
"探索","Thám hiểm"
"挑战boss详情获取","Thám hiểm"
"挑战boss结束","Kết thúc khiêu chiến boss"
"挑战boss列表获取","Nhận danh sách khiêu chiến boss"
"挑战boss开始","Bắt đầu khiêu chiến boss"
"领取好友任务奖励","Nhận thưởng n.vụ Bạn Bè"
"领取额外奖励","Nhận thưởng thêm"
"好友任务协作列表","Danh sách trợ giúp Bạn Bè"
"好友任务邀请","Yêu cầu n.vụ Bạn Bè"
"加入好友任务","Gia nhập n.vụ Bạn Bè"
"好友任务列表","Danh sách n.vụ Bạn Bè"
"怪物挑战结束","Kết thúc khiêu chiến quái"
"怪物挑战开始","Bắt đầu khiêu chiến quái"
"一键探索","Thám hiểm nhanh"
"一键探索结束","Kết thúc thám hiểm nhanh"
