"﻿变量名",_beizhu,name,name_tw,name_en,name_vn,name_kr,group,res,desc,desc_tw,desc_en,desc_vn,desc_kr,onlyOne,limit,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,resultDesc1,resultDesc1_tw,resultDesc1_en,resultDesc1_vn,resultDesc1_kr,result1,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,resultDesc2,resultDesc2_tw,resultDesc2_en,resultDesc2_vn,resultDesc2_kr,result2,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,resultDesc3,resultDesc3_tw,resultDesc3_en,resultDesc3_vn,resultDesc3_kr,result3
7,,An Encounter with Team Rocket,遭遇火箭隊,An Encounter with Team Rocket,404404,로켓단 조우,1,,You found the Team Rocket trio who are behaving suspiciously,發現了鬼鬼祟祟的火箭隊三人組,You found the Team Rocket trio who are behaving suspiciously,404404,수상한 로켓단 삼인조를 발견했다,,,Say hello,上前打招呼,Say hello,404404,다가가 인사를 한다,"The trio is startled and a battle ensued. HP of battling Pokémons reduces by 10%, but rage level has increased",三人組受到了驚嚇，當即發生對戰，上陣精靈生命值減少10%，但是怒氣值增加了,"The trio is startled and a battle ensued. HP of battling Pokémons reduces by 10%, but rage level has increased","Bộ ba hoảng sợ, lập tức quyết đấu, Pokémon lên trận giảm 10% HP, nhưng tăng Nộ Khí","""삼인조는 매우 놀라며 즉시 대결이 일어났다. 출전한 포켓몬의 HP가 10% 감소하지만, 분노가 증가했다""",{buff=<200;215>},Observe secretly,偷偷觀察,Observe secretly,404404,몰래 본다,"They seem to have found something valuable and left. Following the traces, you also found some remaining coins. You get 15,000 coins.",他們似乎找到了什麼值錢的東西後離開了，跟著他們的步伐，你也找到了一些殘留的金幣，金幣+15000,"They seem to have found something valuable and left. Following the traces, you also found some remaining coins. You get 15,000 coins.",404404,"""그들은 뭔가 돈이 될만한 물건을 찾아서 떠난 것 같다. 그들을 따라가 보니, 당신도 남아있는 골드 코인을 획득했다. 골드 코인+15000""",{items={gold=15000}},,,,,,,,,,,
8,,An Encounter with Team Rocket,遭遇火箭隊,An Encounter with Team Rocket,404404,로켓단 조우,1,,You found the Team Rocket trio who are behaving suspiciously,發現了鬼鬼祟祟的火箭隊三人組,You found the Team Rocket trio who are behaving suspiciously,404404,수상한 로켓단 삼인조를 발견했다,,,Say hello,上前打招呼,Say hello,404404,다가가 인사를 한다,"The trio is startled and ran away swiftly. In their hasty escape, they seem to have left behind some coins",三人組受到了驚嚇，飛也似地逃走了，慌亂中似乎留下了一些金幣,"The trio is startled and ran away swiftly. In their hasty escape, they seem to have left behind some coins","Bộ ba hoảng sợ, lập tức chạy trốn, trong lúc hoảng loạn bỏ lại một số Gold","""삼인조는 매우 놀라며 날아가는 듯이 도망쳤고, 그 와중에 골드 코인을 떨궜다""",{items={gold=15000}},Observe secretly,偷偷觀察,Observe secretly,404404,몰래 본다,"You've been discovered and have no chpice but to battle. HP of battling Pokémons reduces by 10%, but rage level has increased",似乎被他們發現了，被迫進行對戰，上陣精靈生命值減少10%，但是怒氣值增加了,"You've been discovered and have no chpice but to battle. HP of battling Pokémons reduces by 10%, but rage level has increased","Có bị đã bị họ phát hiện, buộc phải quyết đấu, Pokémon lên trận giảm 10% HP, nhưng Nộ Khí tăng","""그들에게 발각된 것 같아, 어쩔 수 없이 전투가 일어났다. 출전한 포켓몬의 HP가 10% 감소했지만, 분노가 증가했다""",{buff=<200;215>},,,,,,,,,,,
9,,Mysterious man,神秘人,Mysterious man,404404,수수께끼의 인물,2,,You suddenly meet a suspicious-looking person and approached him,忽然遇到一個形跡可疑的人，你向他搭話,You suddenly meet a suspicious-looking person and approached him,404404,"""행동이 수상한 사람을 발견했고, 당신은 그에게 말을 걸었다""",,,Who are you,你是誰,Who are you,404404,당신은 누구세요?,"The mysterious man revealed his identity and takes out a gem - he is actually an explorer. You take the gem and receive blessings from it. In the subsequent battle, allied Pokémons receive a initial rage value of 1000.",神秘人說出自己身份，其實他是一個探險家，從口袋裡拿出一個寶石，你接過寶石後，得到了寶石的祝福，下一次開始戰鬥時，我方精靈獲得1000初始怒氣值,"The mysterious man revealed his identity and takes out a gem - he is actually an explorer. You take the gem and receive blessings from it. In the subsequent battle, allied Pokémons receive a initial rage value of 1000.","Người bí ẩn nói ra danh tính, thật ra hắn là một nhà thám hiểm, lấy trong túi ra 1 viên bảo thạch, ngươi nhận lấy và nhận được chúc phúc của bảo thạch, lần chiến đấu tiếp theo, Pokémon phe ta nhận 1000 Nộ Khí ban đầu","""수수께끼의 인물이 자신은 사실 탐험가라 밝혔고, 주머니에서 보석을 하나 꺼냈다. 당신은 보석을 건네받고는, 보석의 축복을 받았다. 다음 전투 시작 시, 아군 포켓몬은 1000의 분노를 획득한다""",{buff=<1057>},Where are you from?,你從哪裡來,Where are you from?,404404,어디서 왔나요,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 200 extra points.",神秘人指了指某個方向，沿著那個方向，你發現了一個奇怪的裝置，開啟裝置，獲得了200額外積分,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 200 extra points.",404404,"""수수께끼의 인물이 특정 방향을 가르켰고, 방향을 따라 가보니 당신은 특이하게 생긴 장치를 발견했다. 장치를 가동해 보니, 추가로 200포인트를 획득했다""",{points=200},Where are you going?,你要到哪兒去,Where are you going?,404404,어디로 가시나요,The mysterious man took a bag out of his pocket and gave it to you instead of telling you. (You get a small reward),神秘人似乎不想告訴你，從口袋裡掏出一個袋子交給了你，（獲得一個小獎勵）,The mysterious man took a bag out of his pocket and gave it to you instead of telling you. (You get a small reward),404404,"""수수께끼의 인물은 당신에게 말해주고 싶지 않아 했으며, 바지 주머니에서 주머니를 꺼내 당신에게 줬다, (작은 보상을 얻었다)""",{items={gold=15000}}
10,,Mysterious Power,未知力量,Mysterious Power,404404,미지의 힘,2,,Seems like there's a mysterious power that is hindering you from moving on,似乎有某種奇怪的力量阻止你繼續前行,Seems like there's a mysterious power that is hindering you from moving on,404404,이상한 힘이 당신의 전진을 방해하는 것 같다,,,Investigate the cause,調查原因,Investigate the cause,404404,원인을 조사한다,You've successfully closed the obstruction device and received a reward,成功關上了妨礙裝置，獲得了一個獎勵,You've successfully closed the obstruction device and received a reward,404404,방해 장치를 성공적으로 잠가 보상을 획득했다,{items={gold=5000}},Taking a Detour,繞道而行,Taking a Detour,404404,돌아서 간다,You found a new path and went ahead normally (nothing happened),找到了一條新的道路，正常前行（什麼都沒發生）,You found a new path and went ahead normally (nothing happened),404404,새로운 길을 발견해 그대로 나아갔다(아무 일도 일어나지 않았다),,Go courageously,勇往直前,Go courageously,404404,용감하게 다가간다,"A certain switch seems to be triggered, current HP of battling Pokémon reduces by 20%, and rage value increases by 50%",似乎是觸發了某個機關，上陣精靈減少20%當前生命值，怒氣值增加50%,"A certain switch seems to be triggered, current HP of battling Pokémon reduces by 20%, and rage value increases by 50%",404404,"""어떤 장치를 작동시킨 것 같다. 출전한 포켓몬은 현재 HP의 20%를 잃고, 분노가 50% 증가한다""",{buff=<200;206>}
11,,Wish Maker,七夜之願,Wish Maker,404404,일곱 밤의 소원,3,,"You encounter a Jirachi which is in a very good mood, it seems to be asking about your wish.",遇到了心情很好的基拉祈，它似乎在問你想要實現的願望,"You encounter a Jirachi which is in a very good mood, it seems to be asking about your wish.","Gặp Jirachi tâm trạng rất tốt, có vẻ như nó đang hỏi bạn mong muốn điều gì","""기분이 좋은 지라치를 만났고, 그는 당신의 소원을 물어보는 것 같다""",TRUE,1,I wanna get stronger,我要變強,I wanna get stronger,404404,나는 강해질 거야,"At the beginning of the next battle, there will be a 15% chance the opponent’s current HP will be reduced by half. It will only be triggered when the on the first battle, and not be triggered in the subsequent battles",下一次戰鬥開始時，15%幾率對方敵人的當前生命值減半，只有第一次挑戰該戰鬥時可能觸發，之後挑戰不會觸發,"At the beginning of the next battle, there will be a 15% chance the opponent’s current HP will be reduced by half. It will only be triggered when the on the first battle, and not be triggered in the subsequent battles",404404,"""다음 전투 시작 시, 15%의 확률로 적 포켓몬 현재 HP의 절반을 감소 시킨다. 해당 효과는 처음 도전에서만 발동되고 이후에는 발동되지 않는다.""",{buff=<1040>},I want some diamonds,我要鑽石,I want some diamonds,404404,다이아를 원합니다,You get 50 diamonds,獲得了50鑽石,You get 50 diamonds,404404,다이아 50개를 획득했다,{items={rmb=50}},I want money,我要錢,I want money,404404,돈을 원합니다,You get plenty of money,獲得了大量金錢,You get plenty of money,404404,대량의 골드 코인을 얻었다,{items={gold=25000}}
12,,Wish Maker?,七夜之願？,Wish Maker?,404404,일곱 번째 밤의 소원?,2,,"You encounter a Jirachi which is in an okay mood, it seems to be asking about your wish.",遇到了心情一般的基拉祈，它似乎在問你想要實現的願望,"You encounter a Jirachi which is in an okay mood, it seems to be asking about your wish.","Gặp Jirachi tâm trạng bình thường, có vẻ như nó đang hỏi bạn mong muốn điều gì","""기분이 보통인 지라치를 만났고, 그는 당신의 소원을 물어보는 것 같다""",,,I wanna get stronger,我要變強,I wanna get stronger,404404,나는 강해질 거야,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins",基拉祈解除變身恢復成了百變怪，什麼都沒有發生…......................等等，好像也不是，留下了少量的金幣的樣子,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins","Jirachi giải trừ biến thân khôi phục thành Ditto, không có gì xảy ra... Đợi chút, hình như không phải, để lại không ít Gold","""지라치는 변신을 해제하고 메타몽으로 돌아왔고, 아무 일도 일어나지 않았다................... 아니, 그렇지 만도 않는 게 골드 코인을 조금 남긴 것 같다""",{items={gold=6000}},I want some diamonds,我要鑽石,I want some diamonds,404404,다이아를 원합니다,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some diamonds",基拉祈解除變身恢復成了百變怪，什麼都沒有發生…......................等等，好像也不是，留下了少量的鑽石的樣子,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some diamonds","Jirachi giải trừ biến thân khôi phục thành Ditto, không có gì xảy ra... Đợi chút, hình như không phải, để lại không ít Diamond","""지라치는 변신을 해제하고 메타몽으로 돌아왔고, 아무 일도 일어나지 않았다................... 아니, 그렇지 만도 않는 게 다이아를 조금 남긴 것 같다""",{items={rmb=10}},I want money,我要錢,I want money,404404,돈을 원합니다,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins",基拉祈解除變身恢復成了百變怪，什麼都沒有發生…......................等等，好像也不是，留下了少量的金幣的樣子,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins","Jirachi giải trừ biến thân khôi phục thành Ditto, không có gì xảy ra... Đợi chút, hình như không phải, để lại không ít Gold","""지라치는 변신을 해제하고 메타몽으로 돌아왔고, 아무 일도 일어나지 않았다................... 아니, 그렇지 만도 않는 게 골드 코인을 조금 남긴 것 같다""",{items={gold=6000}}
13,,Wish Maker?,七夜之願？,Wish Maker?,404404,일곱 번째 밤의 소원?,1,,"You encounter a Jirachi which is in an extremely bad mood, it seems to be asking about your wish.",遇到了心情很差的基拉祈，它似乎在問你想要實現的願望,"You encounter a Jirachi which is in an extremely bad mood, it seems to be asking about your wish.","Gặp Jirachi tâm trạng tồi tệ, có vẻ như nó đang hỏi bạn mong muốn điều gì","""기분이 안 좋은 지라치를 만났고, 그는 당신의 소원을 물어보는 것 같다""",,,I wanna get stronger,我要變強,I wanna get stronger,404404,나는 강해질 거야,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins",基拉祈解除變身恢復成了百變怪，什麼都沒有發生…......................等等，好像也不是，留下了少量的金幣的樣子,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins","Jirachi giải trừ biến thân khôi phục thành Ditto, không có gì xảy ra... Đợi chút, hình như không phải, để lại không ít Gold","""지라치는 변신을 해제하고 메타몽으로 돌아왔고, 아무 일도 일어나지 않았다................... 아니, 그렇지 만도 않는 게 골드 코인을 조금 남긴 것 같다""",{items={gold=5000}},I want some diamonds,我要鑽石,I want some diamonds,404404,다이아를 원합니다,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some diamonds",基拉祈解除變身恢復成了百變怪，什麼都沒有發生…......................等等，好像也不是，留下了少量的鑽石的樣子,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some diamonds","Jirachi giải trừ biến thân khôi phục thành Ditto, không có gì xảy ra... Đợi chút, hình như không phải, để lại không ít Diamond","""지라치는 변신을 해제하고 메타몽으로 돌아왔고, 아무 일도 일어나지 않았다................... 아니, 그렇지 만도 않는 게 다이아를 조금 남긴 것 같다""",{items={rmb=5}},I want money,我要錢,I want money,404404,돈을 원합니다,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins",基拉祈解除變身恢復成了百變怪，什麼都沒有發生…......................等等，好像也不是，留下了少量的金幣的樣子,"Jirachi transformed back into Ditto, and nothing happened…...................... Wait, seems like it has left behind some coins","Jirachi giải trừ biến thân khôi phục thành Ditto, không có gì xảy ra... Đợi chút, hình như không phải, để lại không ít Gold","""지라치는 변신을 해제하고 메타몽으로 돌아왔고, 아무 일도 일어나지 않았다................... 아니, 그렇지 만도 않는 게 골드 코인을 조금 남긴 것 같다""",{items={gold=5000}}
14,,Ferocious Roadblocking Monster,攔路凶獸,Ferocious Roadblocking Monster,404404,길을 막은 몬스터,1,,"A giant Slaking has blocked their path, it seems to be sleeping soundly",一隻巨大的請假王擋住了去路，它似乎睡得很香,"A giant Slaking has blocked their path, it seems to be sleeping soundly",404404,"""거대한 게을킹 한 마리가 앞길을 막아섰고, 꿀잠을 자고 있는 것 같다""",,,Wake it up,叫醒它,Wake it up,404404,깨운다,Slaking left unwillingly,請假王不樂意地離開了,Slaking left unwillingly,404404,게을킹은 내키지 않으면서 떠났다,,Wake it up,打醒它,Wake it up,404404,깨운다,"Slaking makes a counterattack, reducing the attack bonus of all Pokémons by 5%",請假王進行了反擊，受到反擊影響，全體精靈的攻擊力加成降低5%,"Slaking makes a counterattack, reducing the attack bonus of all Pokémons by 5%",404404,게을킹이 반격을 가했다. 반격의 영향을 받아 모든 포켓몬의 공격력 보너스가 5% 감소한다,{buff=<212;213>},,,,,,,,,,,
15,,Ferocious Roadblocking Monster,攔路凶獸,Ferocious Roadblocking Monster,404404,길을 막은 몬스터,2,,"A giant Slaking has blocked their path, it seems to be sleeping soundly",一隻巨大的請假王擋住了去路，它似乎睡得很香,"A giant Slaking has blocked their path, it seems to be sleeping soundly",404404,"""거대한 게을킹 한 마리가 앞길을 막아섰고, 꿀잠을 자고 있는 것 같다""",,,Wake it up,叫醒它,Wake it up,404404,깨운다,Slaking wakes up and gives you a smooch. You receive his blessings - All enemies are silenced for 1 turn at the beginning of the next battle,請假王從睡夢中醒來，給了你一個香吻，獲得祝福——下一次戰鬥開始時，沉默所有敵人一回合,Slaking wakes up and gives you a smooch. You receive his blessings - All enemies are silenced for 1 turn at the beginning of the next battle,404404,"""게을킹이 꿈속에서 깨어나 당신에게 뽀뽀를 하여 축복을 내렸다. 다음 전투 시작 시, 모든 적을 1턴 간 침묵시킨다""",{buff=<1052>},Wake it up,打醒它,Wake it up,404404,깨운다,"Slaking ran away as it is afraid of pain, but there seemed to be a bunch of strange items underneath it.",請假王怕疼跑開了，它的身下似乎有一堆奇怪的東西,"Slaking ran away as it is afraid of pain, but there seemed to be a bunch of strange items underneath it.",404404,"""게을킹은 고통을 못 견디고 도망치면서, 이상한 것들을 흘리고 갔다""",{items={gold=15000}},,,,,,,,,,,
16,,Anxious person,焦急的人,Anxious person,404404,조급한 사람,2,,You meet someone who is walking around anxiously. He approaches you and asks for some money to buy an ice cream,你遇到了一個焦急左右走動的人，他向前向你搭話，希望你給他點錢買霜淇淋,You meet someone who is walking around anxiously. He approaches you and asks for some money to buy an ice cream,404404,"""당신은 조급하게 왔다 갔다 하는 사람을 만났고, 그는 다가와 당신에게 말을 걸며, 당신이 자신에게 아이스크림을 살 돈을 주길 원하고 있다""",,,Give him the money,給他錢,Give him the money,404404,돈을 준다,He accepts it happily and gives you a mysterious stone. All enemies fall asleep for 1 turn in the next battle,他開心地收下了，並給了你一個神秘的石頭，下一次戰鬥開始時，所有敵人陷入睡眠一回合,He accepts it happily and gives you a mysterious stone. All enemies fall asleep for 1 turn in the next battle,"Hắn vui vẻ nhận lấy và đưa ngươi 1 viên đá thần bí, bắt đầu trận chiến sau, toàn bộ địch rơi vào ngủ say 1 hiệp","""그는 기쁘게 받아들었고, 당신에게 신비한 돌멩이를 건네주었다. 다음 전투 시작 시, 모든 적은 1턴 간 수면상태가 된다""",{buff=<1053>},Reject him politely,婉言拒絕他,Reject him politely,404404,완곡히 거절한다,He left in disappointment,他失望地走開了,He left in disappointment,404404,그는 실망하면서 떠났다,,Hit him away,打跑他,Hit him away,404404,쫓아낸다,"The Poké ball in his hand flashed, and a Gyarados appeared from it. As your Pokémons are frightened, their rage value has been reset to zero",他手中的精靈球閃爍著光芒，從裡面跳出來一條暴鯉龍，受到驚嚇，我方精靈怒氣值被清空了,"The Poké ball in his hand flashed, and a Gyarados appeared from it. As your Pokémons are frightened, their rage value has been reset to zero","Pokémon trong tay hắn phát sáng, một con Gyarados nhảy ra, Pokémon phe ta sợ hãi bị xoá hết Nộ Khí","""그의 수중에 있는 몬스터볼에서 빛이 나더니, 안에서 갸라도스 한 마리가 튀어 나왔다. 당신은 깜짝 놀라서, 아군 포켓몬의 분노가 0이 됐다""",{buff=<205>}
17,,The value of honesty?,路不拾遺？,The value of honesty?,404404,정직한 사람?,3,,You found a wallet on the ground,發現地上有個錢包,You found a wallet on the ground,404404,바닥에 지갑이 떨어져 있다,,,Waiting for the owner,等待失主,Waiting for the owner,404404,주인을 기다린다,"When the owner saw it, as a gesture of gratitude he gave you a small amount of coins",失主過來後看到，作為感謝，你得到了少量金幣,"When the owner saw it, as a gesture of gratitude he gave you a small amount of coins","Chủ sở hữu đến và thấy, tặng bạn một ít Gold để cảm ơn",주인이 돌아온 후 답례로 소량의 골드 코인을 줬다,{items={gold=10000}},Accept it secretly,私自收下,Accept it secretly,404404,몰래 챙긴다,You get more coins but the rage value of your Pokémons empties as they feel guilty about it,金幣增加了，但是受到良心的譴責，我方陣容內精靈怒氣值清空,You get more coins but the rage value of your Pokémons empties as they feel guilty about it,"Gold đã tăng, nhưng bị lương tâm lên án, Pokémon trong đội hình phe ta bị xoá hết Nộ Khí","""골드 코인을 얻었지만, 양심의 가책을 느껴, 아군 라인업의 포켓몬의 분노가 0이 됐다""",{items={gold=25000};buff=<205>},Ignore,置之不理,Ignore,404404,신경 쓰지 않는다,Nothing happened,什麼都沒有發生,Nothing happened,404404,아무 일도 일어나지 않았다,
18,,Jigglypuff's Song,胖丁之歌,Jigglypuff's Song,404404,푸린의 노래,2,,Saw a Jigglypuff getting ready to sing,看到了一隻胖丁準備唱歌,Saw a Jigglypuff getting ready to sing,404404,푸린 한 마리가 노래를 부를 준비를 하고 있다,,,Listen to it singing,聽它唱,Listen to it singing,404404,노래를 듣는다,You fell asleep soundly and got enough rest. HP of Pokémons recovers by 20%,你安詳地睡去，獲得了充分的休息，上陣精靈血量回復了20%,You fell asleep soundly and got enough rest. HP of Pokémons recovers by 20%,404404,"""당신은 조용히 잠에 들었고, 충분한 휴식을 취하고 나니, 출전한 포켓몬의 HP가 20% 회복되었다""",{buff=<214>},Stop it,制止它,Stop it,404404,저지한다,Jigglypuff is very angry and used Double Slap. HP of all battling Pokémons reduces but gained rage value,胖丁非常生氣，對你使用了連環巴掌，上陣精靈生命值減少了，但是獲得了怒氣值,Jigglypuff is very angry and used Double Slap. HP of all battling Pokémons reduces but gained rage value,404404,"""푸린이 매우 화를 내며 당신에게 연속 뺨 때리기를 시전했고, 출전한 포켓몬의 HP가 감소했지만, 분노가 증가했다""",{buff=<200;211>},Run away,拔腿就跑,Run away,404404,도망친다,You've escaped from Jigglypuff's power,跑離了胖丁的能力影響範圍,You've escaped from Jigglypuff's power,404404,푸린의 능력 영향 범위에서 뛰쳐나오려 했다,
19,,Jigglypuff's Song,胖丁之歌,Jigglypuff's Song,404404,푸린의 노래,2,,Saw a Jigglypuff getting ready to sing,看到了一隻胖丁準備唱歌,Saw a Jigglypuff getting ready to sing,404404,푸린 한 마리가 노래를 부를 준비를 하고 있다,,,Listen to it singing,聽它唱,Listen to it singing,404404,노래를 듣는다,You fell asleep soundly and got enough rest. HP of Pokémons recovers by 20%,你安詳地睡去，獲得了充分的休息，上陣精靈血量回復了20%,You fell asleep soundly and got enough rest. HP of Pokémons recovers by 20%,404404,"""당신은 조용히 잠에 들었고, 충분한 휴식을 취하고 나니, 출전한 포켓몬의 HP가 20% 회복되었다""",{buff=<214>},Stop it,制止它,Stop it,404404,저지한다,Jigglypuff is very angry and used Double Slap. HP of all battling Pokémons reduces but gained rage value,胖丁非常生氣，對你使用了連環巴掌，上陣精靈生命值減少了，但是獲得了怒氣值,Jigglypuff is very angry and used Double Slap. HP of all battling Pokémons reduces but gained rage value,404404,"""푸린이 매우 화를 내며 당신에게 연속 뺨 때리기를 시전했고, 출전한 포켓몬의 HP가 감소했지만, 분노가 증가했다""",{buff=<200;211>},Run away,拔腿就跑,Run away,404404,도망친다,"But it was too late to flee, the allied Pokémons are affected by Jigglypuff and their HP recovery rate and rage level have reduced",然而跑得還是太晚了，受到了胖丁能力影響，我方精靈生命值回復，同時怒氣值減少了,"But it was too late to flee, the allied Pokémons are affected by Jigglypuff and their HP recovery rate and rage level have reduced","Tuy nhiên chạy thì đã quá muộn, bị ảnh hưởng bởi khả năng của Jigglypuff, Pokémon phe ta hồi phục HP, đồng thời giảm Nộ Khí","""그래도 늦었는지, 푸린의 능력의 영향을 받아, 아군 포켓몬의 HP가 회복되면서, 동시에 분노가 감소했다""",{buff=<214;203>}
20,,God?,神？,God?,404404,신?,3,,A man who calls himself a God suddenly appeared and asked if you had dropped a bag,忽然出現了一個自稱為神的人，詢問你是不是有掉了袋子,A man who calls himself a God suddenly appeared and asked if you had dropped a bag,404404,"""자신을 신이라 칭하는 사람이 갑자기 나타나, 당신한테 잃어버린 물건이 있는지 물어보았다""",TRUE,1,I dropped a Gold bag,我掉了個金色的袋子,I dropped a Gold bag,404404,황금색 주머니를 잃어버렸습니다,"You get a huge amount of coins, but HP of the Pokémons in battle has reduced",獲得了大量金幣，但是上陣精靈生命值減少了,"You get a huge amount of coins, but HP of the Pokémons in battle has reduced",404404,"""대량의 골드 코인을 획득했지만, 출전한 포켓몬의 HP가 감소했다""",{items={gold=50000};buff=<202>},I dropped a Silver bag,我掉了個銀色的袋子,I dropped a Silver bag,404404,은색 주머니를 잃어버렸습니다,"You get a huge amount of coins, but HP of the Pokémons in battle has reduced",獲得了大量金幣，但是上陣精靈生命值減少了,"You get a huge amount of coins, but HP of the Pokémons in battle has reduced",404404,"""대량의 골드 코인을 획득했지만, 출전한 포켓몬의 HP가 감소했다""",{items={gold=25000};buff=<201>},I have dropped nothing,我什麼都沒掉,I have dropped nothing,404404,아무것도 잃어버리지 않았습니다,Honest kids are rewarded,誠實的孩子可以得到獎勵,Honest kids are rewarded,404404,성실한 아이는 보상을 얻을 수 있다,{items={rmb=20}}
21,,Wish,願望,Wish,404404,소원,3,,"Here, tell me your wish",來吧，說出你的願望,"Here, tell me your wish",404404,"""자, 소원을 말해 보거라""",,,Intense attack,強攻,Intense attack,404404,강력한 공격,"In the next battle, allied Pokémons get a 100% chance of damage bonus after knocking down enemies for 2 turns",下一次戰鬥中，我方精靈擊殺敵人後可以獲得100%的攻擊力加成，持續2回合,"In the next battle, allied Pokémons get a 100% chance of damage bonus after knocking down enemies for 2 turns",404404,"""다음 전투에서, 아군 포켓몬이 적을 처치하면 2턴 간 100%의 공격력 보너스를 얻는다.""",{buff=<1038>},High speed,高速,High speed,404404,고속,"When the next battle begins, allied Pokémons will get an initial 1000 rage points",下一次開始戰鬥時，我方精靈獲得1000初始怒氣值,"When the next battle begins, allied Pokémons will get an initial 1000 rage points",404404,"""다음 전투 시작 시, 아군 포켓몬은 초기 분노치를 1000 획득한다.""",{buff=<1057>},Enjoy the Fruits of Others' Labor,坐享其成,Enjoy the Fruits of Others' Labor,404404,구경한다,"At the beginning of the next battle, the enemy has a 50% chance of fainting instantly (the probability applies to individual enemy)",下一次戰鬥開始時，敵人有50%概率直接死亡（每個敵人單獨計算概率）,"At the beginning of the next battle, the enemy has a 50% chance of fainting instantly (the probability applies to individual enemy)",404404,"""다음 전투 시작 시, 적이 50%의 확률로 바로 사망한다(적마다 단독으로 확률을 계산한다)""",{buff=<1041>}
22,,Wish,願望,Wish,404404,소원,3,,"Here, tell me your wish",來吧，說出你的願望,"Here, tell me your wish",404404,"""자, 소원을 말해 보거라""",,,Avoid fainting,免死,Avoid fainting,404404,죽음 면역,"Allied Pokémons immediately revive when they are knocked out, restoring 50% HP and 100% rage value. This effect can only be used once.",我方精靈陣亡時，立即復活，回復50%生命值和100%怒氣值，此效果只可作用一次,"Allied Pokémons immediately revive when they are knocked out, restoring 50% HP and 100% rage value. This effect can only be used once.",404404,"""아군 포켓몬이 사망 시 즉시 부활하여, 50%의 HP와 100%의 분노를 회복하고, 해당 효과는 1회만 발동된다""",{buff=<1047>},Intense attack,強攻,Intense attack,404404,강력한 공격,"At the beginning of the next battle, the allied Pokémon that makes the first move deals double damage",下一次戰鬥開始時，我方第一隻行動的精靈造成雙倍傷害,"At the beginning of the next battle, the allied Pokémon that makes the first move deals double damage",404404,"""다음 전투 시작 시, 첫 번째로 행동하는 아군 포켓몬이 입히는 피해가 2배가 된다.""",{buff=<1039>},Status condition,控制,Status condition,404404,제어,All enemies are silence for 1 turn in the next battle,下一次戰鬥開始時，沉默所有敵人一回合,All enemies are silence for 1 turn in the next battle,404404,"""다음 전투 시작 시, 모든 적 포켓몬을 1턴 간 침묵 상태로 만든다.""",{buff=<1052>}
