"﻿变量名",typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,answer,imgID
8,1,50,102,"In the animation, which one of the following statements about the Team Rocket is wrong?",動畫中，以下關於火箭隊說法錯誤的是哪一項？,"In the animation, which one of the following statements about the Team Rocket is wrong?",404,404,Team Rocket were originally founded by Giovanni,火箭隊最初是由阪木創立的,Team Rocket were originally founded by Giovanni,404,404,A stock company,一家股票上市公司,A stock company,404,404,Large multinational and multi-regional company,大型跨國、跨地區的公司,Large multinational and multi-regional company,404,404,Provide complete benefits for each team member,為每一位隊員提供完善的福利待遇,Provide complete benefits for each team member,404,404,1,
9,1,50,102,"In the animation, which one of the following statements about James is wrong?",動畫中，以下關於小次郎說法錯誤的是哪一項？,"In the animation, which one of the following statements about James is wrong?",404,404,With a tender heart but also cruel,心底溫柔也很殘忍,With a tender heart but also cruel,404,404,Super rich kid,超級富二代,Super rich kid,404,404,Have designed a best-selling bottle cap badge,曾設計過暢銷瓶蓋徽章,Have designed a best-selling bottle cap badge,404,404,A hacker,一名黑客,A hacker,404,404,1,
10,1,50,103,Which of the following shiny Pokémon did not appear in the animation?,動畫中，沒有出現過以下哪只異色精靈？,Which of the following shiny Pokémon did not appear in the animation?,404,404,Mew,夢幻,Mew,404,404,Metagross,巨金怪,Metagross,404,404,Magikarp,鯉魚王,Magikarp,404,404,Butterfree,巴大蝶,Butterfree,404,404,1,
11,1,50,104,What are Shaymin's special abilities in the movie [Giratina and the Sky Warrior]?,劇場版動畫【騎拉帝納與冰空的花束】中，謝米的特殊能力是什麽？,What are Shaymin's special abilities in the movie [Giratina and the Sky Warrior]?,404,404,Flower Delivery,花之傳遞,Flower Delivery,404,404,Flower Field Summon,花海召喚,Flower Field Summon,404,404,Favor of Flowers,花之眷顧,Favor of Flowers,404,404,Flower Recovery,花之復蘇,Flower Recovery,404,404,1,
12,1,50,104,"In the movie Hoopa and the Clash of Ages], Hoopa was sealed because of the raging 100 years ago. What was the item that sealed Hoopa?",劇場版動畫【光環的超魔神】中，胡帕的真身因為100年前的肆虐而被封印，封印胡帕的道具是？,"In the movie Hoopa and the Clash of Ages], Hoopa was sealed because of the raging 100 years ago. What was the item that sealed Hoopa?",404,404,Prison Bottle,懲戒之壺,Prison Bottle,404,404,Imprison Bottle,封印之壺,Imprison Bottle,404,404,Redemption Bottle,救贖之壺,Redemption Bottle,404,404,Judgment Bottle,審判之壺,Judgment Bottle,404,404,1,
13,1,50,104,"In the movie  [Mewtwo Strikes Back: Evolution], who is being controlled by Mewtwo?",劇場版動畫【超夢的逆襲:進化】中，是誰被超夢控制了？,"In the movie  [Mewtwo Strikes Back: Evolution], who is being controlled by Mewtwo?",404,404,Nurse Joy,喬伊小姐,Nurse Joy,404,404,Jenny,君莎小姐,Jenny,404,404,Mew,夢幻,Mew,404,404,Misty,小霞,Misty,404,404,1,
14,1,50,104,"In the movie ""The Spell of the Unown"", what is the name of the place where Molly Hale lives with her father, Spencer Hale?",劇場版動畫【結晶塔的帝王】中，小美與她的的父親秀力博士居住的地方叫什麽？,"In the movie ""The Spell of the Unown"", what is the name of the place where Molly Hale lives with her father, Spencer Hale?",404,404,Greenfield,綠色草原,Greenfield,404,404,Ruins of Alph,阿露福遺跡,Ruins of Alph,404,404,Secret garden,秘密花園,Secret garden,404,404,Dragon Holy Land,龍之聖域,Dragon Holy Land,404,404,1,
15,1,30,105,"In this game, what is the upper limit of the individual value of the Pokémon?",本遊戲中，精靈的單項個體值上限值是多少？,"In this game, what is the upper limit of the individual value of the Pokémon?",404,404,31,31,31,404,404,30,30,30,404,404,35,35,35,404,404,41,41,41,404,404,1,
16,1,30,105,"In this game, which of the following ways can I get the permanent title?",本遊戲中，以下哪種方式可以獲取到永久稱號？,"In this game, which of the following ways can I get the permanent title?",404,404,Energy reaches 3000,體力值達到3000,Energy reaches 3000,404,404,First place in the arena,競技場第一名,First place in the arena,404,404,Become the Honor Gym Leader,成為道館榮譽館主,Become the Honor Gym Leader,404,404,Pokédex ranked 1st place,圖鑒排行第一名,Pokédex ranked 1st place,404,404,1,
17,1,30,105,"In this game, which of the following status cannot be exchanged with other Pokémon through inheritance?",本遊戲中，以下哪種屬性無法通過繼承和其他精靈交換？,"In this game, which of the following status cannot be exchanged with other Pokémon through inheritance?",404,404,Star,星級,Star,404,404,Nature,性格,Nature,404,404,Effort value,努力值,Effort value,404,404,Favorability,好感度,Favorability,404,404,1,
18,1,30,105,"In this game, how many floors are there in the highest level of Aether Paradise?",本遊戲中，以太樂園最高有多少層？,"In this game, how many floors are there in the highest level of Aether Paradise?",404,404,7,7,7,404,404,8,8,8,404,404,10,10,10,404,404,6,6,6,404,404,1,
19,1,30,105,"In this game, which of the following items can not be obtained in the daily dungeon?",本遊戲中，日常副本無法獲取到以下哪種道具？,"In this game, which of the following items can not be obtained in the daily dungeon?",404,404,Legendary Universal Shard,神獸萬能碎片,Legendary Universal Shard,404,404,Coin props,金幣道具,Coin props,404,404,EXP props,經驗道具,EXP props,404,404,Friendship gift,好感度禮物,Friendship gift,404,404,1,
20,1,30,105,"In this game, what time does the Arena settle the ranking reward every night?",本遊戲中，競技場每晚幾點結算排名獎勵？,"In this game, what time does the Arena settle the ranking reward every night?",404,404,21:00 each day,每天21:00,21:00 each day,404,404,21:30 every day,每天21:30,21:30 every day,404,404,Every day at 22:00,每天22:00,Every day at 22:00,404,404,20:30 every day,每天20:30,20:30 every day,404,404,1,
21,1,30,105,"In this game, how many stars level will Pokémon unlock the extreme attribute training?",本遊戲中，精靈星級達到多少後開啟極限屬性培養？,"In this game, how many stars level will Pokémon unlock the extreme attribute training?",404,404,12,12,12,404,404,4,4,4,404,404,8,8,8,404,404,10,10,10,404,404,1,
22,1,50,106,Which Pokémon cannot be Mega evolution?,哪只精靈不可以超進化？,Which Pokémon cannot be Mega evolution?,404,404,Roserade,羅絲雷朵,Roserade,404,404,Charizard,噴火龍,Charizard,404,404,Steelix,大鋼蛇,Steelix,404,404,Sableye,勾魂眼,Sableye,404,404,1,
23,1,50,106,Which of the following Pokémon can be Mega evolution?,以下哪只精靈可以超進化？,Which of the following Pokémon can be Mega evolution?,404,404,Ampharos,電龍,Ampharos,404,404,Pikachu,皮卡丘,Pikachu,404,404,Gorebyss,櫻花魚,Gorebyss,404,404,Castform,漂浮泡泡,Castform,404,404,1,
24,1,50,106,Which of the following Pokémon has multiple evolution branch?,以下哪只精靈進化後有多種分支形態？,Which of the following Pokémon has multiple evolution branch?,404,404,Tyrogue,無畏小子,Tyrogue,404,404,Magnemite,小磁怪,Magnemite,404,404,Timburr,搬運小匠,Timburr,404,404,Abra,凱西,Abra,404,404,1,
25,1,50,106,Which of the following Pokémon will evolve to become Poliwhirl?,以下哪只精靈進化後會成為蚊香君,Which of the following Pokémon will evolve to become Poliwhirl?,404,404,Poliwag,蚊香蝌蚪,Poliwag,404,404,Poliwrath,蚊香泳士,Poliwrath,404,404,Politoed,蚊香蛙皇,Politoed,404,404,Mudkip,水躍魚,Mudkip,404,404,1,
26,1,50,106,"After Charizard Mega-evolve into the X form, what color is the tail flame?",噴火龍超進化為X形態後尾部火焰是什麽顏色？,"After Charizard Mega-evolve into the X form, what color is the tail flame?",404,404,Blue,藍色,Blue,404,404,Red,紅色,Red,404,404,Purple,紫色,Purple,404,404,Orange,橙色,Orange,404,404,1,
27,1,50,111,What color is the shiny Rayquaza?,閃光烈空座是什麽顏色？,What color is the shiny Rayquaza?,404,404,Black,黑色,Black,404,404,Golden,金色,Golden,404,404,White,白色,White,404,404,Green,綠色,Green,404,404,1,
28,1,50,112,Can the Caterpie evolve into Rayquaza?,綠毛蟲是否能夠進化為烈空座？,Can the Caterpie evolve into Rayquaza?,404,404,"No, different races",不能，不同種族,"No, different races",404,404,"Yes, it looks very similar",可以，明明長得很像,"Yes, it looks very similar",404,404,"Yes, interracial evolution",可以，跨種族進化,"Yes, interracial evolution",404,404,Unable to verify,無法考證,Unable to verify,404,404,1,
29,2,50,201,What is the gender of Ash’s Pikachu in the animation?,動畫中小智的皮卡丘是什麽性別？,What is the gender of Ash’s Pikachu in the animation?,404,404,Male,雄性,Male,404,404,Female,雌性,Female,404,404,No gender,無性別,No gender,404,404,Unable to verify,無法考證,Unable to verify,404,404,1,
30,2,50,201,"The following Pokémon that Ash got in the animation, which is the heaviest?",動畫中小智收服的以下精靈中，哪只是最重的？,"The following Pokémon that Ash got in the animation, which is the heaviest?",404,404,Melmetal,美錄梅塔,Melmetal,404,404,Steelix,大鋼蛇,Steelix,404,404,Snorlax,卡比獸,Snorlax,404,404,Torterra,土臺龜,Torterra,404,404,1,
31,2,50,201,Who did Pikachu not imitate in the animation?,動畫中皮卡丘沒有模仿過誰？,Who did Pikachu not imitate in the animation?,404,404,Koffing,瓦斯彈,Koffing,404,404,Meowth,喵喵,Meowth,404,404,Wobbuffet,果然翁,Wobbuffet,404,404,Grovyle,森林蜥蜴,Grovyle,404,404,1,
32,2,50,201,"In the animation, Brock was originally a Leader of Gym. After traveling with Ash and his party, he decided to become one?",動畫中小剛原本是一位道館館主，在和小智一行旅行後，又決定成為一名？,"In the animation, Brock was originally a Leader of Gym. After traveling with Ash and his party, he decided to become one?",404,404,Pokémon Doctor,精靈醫生,Pokémon Doctor,404,404,Pokémon showman,精靈表演家,Pokémon showman,404,404,Pokémon Master,精靈大師,Pokémon Master,404,404,Pokémon Professor,精靈博士,Pokémon Professor,404,404,1,
33,2,50,201,Who is Brock's father in the animation?,動畫中小剛的父親是誰？,Who is Brock's father in the animation?,404,404,Flint,武能,Flint,404,404,Jessie,武藏,Jessie,404,404,Lola,小米,Lola,404,404,Dawn,小光,Dawn,404,404,1,
34,2,50,201,Which Pokémon Misty owned in the animation can't swim?,動畫中小霞曾擁有的哪只精靈不會遊泳？,Which Pokémon Misty owned in the animation can't swim?,404,404,Psyduck,可達鴨,Psyduck,404,404,Gyarados,暴鯉龍,Gyarados,404,404,Staryu,海星星,Staryu,404,404,Politoed,蚊香蛙皇,Politoed,404,404,1,
35,2,50,201,What type of Pokémon is the least acceptable to Misty in the animation?,動畫中小霞最不能接受哪種屬性的精靈？,What type of Pokémon is the least acceptable to Misty in the animation?,404,404,Bug Type,蟲系,Bug Type,404,404,Ice type,冰系,Ice type,404,404,Grass type,草系,Grass type,404,404,Electric Type,電系,Electric Type,404,404,1,
36,2,50,201,"In the animation, after Misty became the Gym Leader of the Cerulean Gym, which Pokémon has she overcome her fear?",動畫中小霞成為華藍道館館主後，克服了對哪只精靈的心理恐懼？,"In the animation, after Misty became the Gym Leader of the Cerulean Gym, which Pokémon has she overcome her fear?",404,404,Gyarados,暴鯉龍,Gyarados,404,404,Magikarp,鯉魚王,Magikarp,404,404,Psyduck,可達鴨,Psyduck,404,404,Paras,派拉斯,Paras,404,404,1,
37,2,50,201,"Which Pokémon of Ash in the animation loves Jessie, and Ash had to give up and lend it to Jessie to participate in the Pokémon contest?",動畫中小智的哪只精靈因為喜歡上武藏，小智只好忍痛割愛將它借給武藏參加華麗大賽？,"Which Pokémon of Ash in the animation loves Jessie, and Ash had to give up and lend it to Jessie to participate in the Pokémon contest?",404,404,Aipom,長尾怪手,Aipom,404,404,Pikachu,皮卡丘,Pikachu,404,404,Bulbasaur,妙蛙種子,Bulbasaur,404,404,Mr. Mime,魔墻人偶,Mr. Mime,404,404,1,
38,2,50,202,Who is the following who did not wear girl's cloth in the animation?,動畫中以下沒有穿過女裝的是誰？,Who is the following who did not wear girl's cloth in the animation?,404,404,Brock,小剛,Brock,404,404,Meowth,喵喵,Meowth,404,404,James,小次郎,James,404,404,Ash,小智,Ash,404,404,1,
39,2,50,202,Which is the only opponent organization in the animation that does not aim legendary Pokémon as target?,動畫中唯一一個不以傳說精靈為目標的敵對組織是哪個,Which is the only opponent organization in the animation that does not aim legendary Pokémon as target?,404,404,Team Rocket,火箭隊,Team Rocket,404,404,Team Magma,熔巖隊,Team Magma,404,404,Team Aqua,海洋隊,Team Aqua,404,404,Team Plasma,等離子隊,Team Plasma,404,404,1,
40,2,50,202,What Pokémon are used in the animation to convey information to the Team Rocket?,動畫中用於給火箭隊傳遞信息的是什麽精靈？,What Pokémon are used in the animation to convey information to the Team Rocket?,404,404,Delibird,信使鳥,Delibird,404,404,Meowth,喵喵,Meowth,404,404,Persian,貓老大,Persian,404,404,Chimecho,風鈴鈴,Chimecho,404,404,1,
41,2,50,202,Who is the boss of the Team Rocket in the animation?,動畫中火箭隊的BOSS是誰？,Who is the boss of the Team Rocket in the animation?,404,404,Giovanni,阪木,Giovanni,404,404,Matori,真鳥,Matori,404,404,Archer,阿波羅,Archer,404,404,Meowth,喵喵,Meowth,404,404,1,
42,2,50,202,"In the animation, the Team Rocket headquarters was destroyed by which Legendary Pokémon?",動畫中火箭隊總部曾被哪只神獸破壞過？,"In the animation, the Team Rocket headquarters was destroyed by which Legendary Pokémon?",404,404,Mew-two,超夢,Mew-two,404,404,Lugia,洛奇亞,Lugia,404,404,Ho-Oh,鳳王,Ho-Oh,404,404,Rayquaza,烈空座,Rayquaza,404,404,1,
43,2,50,202,How many times did Jessie fall in love in the anime at least?,動畫中武藏的戀愛次數至少有多少次？,How many times did Jessie fall in love in the anime at least?,404,404,152,152,152,404,404,521,521,521,404,404,251,251,251,404,404,150,150,150,404,404,1,
44,2,50,203,"In the animation, the Team Magma is investigating the location of which Pokémon most of the time?",動畫中，熔巖隊在絕大多數登場時間裏都在調查哪只精靈的所在地？,"In the animation, the Team Magma is investigating the location of which Pokémon most of the time?",404,404,Groudon,固拉多,Groudon,404,404,Ho-Oh,鳳王,Ho-Oh,404,404,Volcanion,波爾凱尼恩,Volcanion,404,404,Entei,炎帝,Entei,404,404,1,
45,2,50,203,"In the animation, who is the opponent of the evil organization Team magma because of different concepts?",動畫中，和熔巖隊因為理念不同對於對立的邪惡組織是？,"In the animation, who is the opponent of the evil organization Team magma because of different concepts?",404,404,Team Aqua,海洋隊,Team Aqua,404,404,Team Rocket,火箭隊,Team Rocket,404,404,Team Galactic,銀河隊,Team Galactic,404,404,Team Plasma,等離子隊,Team Plasma,404,404,1,
46,2,50,203,"In the animation, which of the following evil organizations did not appear in the broadcast animation due to special reasons?",動畫中，以下哪只邪惡組織因為特殊原因沒有在播出的動畫中出現過？,"In the animation, which of the following evil organizations did not appear in the broadcast animation due to special reasons?",404,404,Team Plasma,等離子隊,Team Plasma,404,404,Team Aqua,海洋隊,Team Aqua,404,404,Team Skull,骷髏隊,Team Skull,404,404,Team Flare,閃焰隊,Team Flare,404,404,1,
47,2,50,203,"In the animation, which one of the following Pokémon is Team Flare looking for and researching?",動畫中，閃焰隊到處尋找並研究的精靈是以下哪一只？,"In the animation, which one of the following Pokémon is Team Flare looking for and researching?",404,404,Zygarde,基格爾德,Zygarde,404,404,Yveltal,伊裴爾塔爾,Yveltal,404,404,Xerneas,哲爾尼亞斯,Xerneas,404,404,Noivern,音波龍,Noivern,404,404,1,
48,2,50,204,"Except for which of the following Pokémon, other Pokémon have only appeared in the animation?",除了以下哪只精靈，其他精靈都只在動畫中出現過？,"Except for which of the following Pokémon, other Pokémon have only appeared in the animation?",404,404,Shiny Gengar,閃光耿鬼,Shiny Gengar,404,404,Crystal Onix,水晶大巖蛇,Crystal Onix,404,404,Snowman Snorlax,雪人卡比獸,Snowman Snorlax,404,404,Golden Sudowoodo,黃金樹才怪,Golden Sudowoodo,404,404,1,
49,2,50,205,"In movie [Pokémon Heroes - Latios and Latias], what is the water Pokémon used by Misty?",劇場版動畫【水都的守護神 拉帝亞斯與拉帝歐斯】中，小霞使用的水系精靈是什麽？,"In movie [Pokémon Heroes - Latios and Latias], what is the water Pokémon used by Misty?",404,404,Corsola,太陽珊瑚,Corsola,404,404,Poliwrath,蚊香泳士,Poliwrath,404,404,Gyarados,暴鯉龍,Gyarados,404,404,Starmie,寶石海星,Starmie,404,404,1,
50,2,50,205,"In movie [Pokémon Ranger and the Temple of the Sea], who did Manaphy think is his mother?",劇場版動畫【精靈巡護員與蒼海的王子】中瑪納霏曾認定誰是媽媽？,"In movie [Pokémon Ranger and the Temple of the Sea], who did Manaphy think is his mother?",404,404,May,小遙,May,404,404,Misty,小霞,Misty,404,404,Dawn,小光,Dawn,404,404,Max,小勝,Max,404,404,1,
51,2,50,205,"In movie [Pokémon the Movie 2000: The Power of One], Ash and Lugia fell into the ice river, who was the one who saved Ash and jumping into the ice river?",劇場版動畫【洛奇亞爆誕】中小智和洛奇亞掉入到冰河中，是誰跳入冰河救的小智？,"In movie [Pokémon the Movie 2000: The Power of One], Ash and Lugia fell into the ice river, who was the one who saved Ash and jumping into the ice river?",404,404,Misty,小霞,Misty,404,404,Brock,小剛,Brock,404,404,Melody,芙羅拉,Melody,404,404,Gary Oak,小茂,Gary Oak,404,404,1,
52,2,50,205,"In the movie [Giratina and the Sky Warrior], what is the reason Giratina is tracking Dialga?",劇場版動畫【騎拉帝納與冰空的花束】中，騎拉帝納追蹤帝牙盧卡的原因是什麽？,"In the movie [Giratina and the Sky Warrior], what is the reason Giratina is tracking Dialga?",404,404,Because the Reverse World is polluted,因為反轉世界受到了汙染,Because the Reverse World is polluted,404,404,Because of past grudges,因為以往的恩怨,Because of past grudges,404,404,Because they have the ability to travel through time and space,因為都有時空穿梭的能力,Because they have the ability to travel through time and space,404,404,Retake certain items from Dialga,奪回帝牙盧卡身上的某些物品,Retake certain items from Dialga,404,404,1,
53,2,50,205,In mive [Arceus and the Jewel of Life] Ash and his party travel through time and space under whose help?,劇場版動畫【阿爾宙斯 超克的時空】在誰的幫助下小智一行人穿越時空？,In mive [Arceus and the Jewel of Life] Ash and his party travel through time and space under whose help?,404,404,Dialga,帝牙盧卡,Dialga,404,404,Palkia,帕路奇亞,Palkia,404,404,Giratina,騎拉帝納,Giratina,404,404,Arceus,阿爾宙斯,Arceus,404,404,1,
54,2,50,205,"In movie [Zoroark: Master of Illusions], which legendary Pokémon is raging on the streets?",劇場版動畫【幻影的霸者 索羅亞克】中，哪幾只神獸在街道上暴走？,"In movie [Zoroark: Master of Illusions], which legendary Pokémon is raging on the streets?",404,404,"Raikou, Entei, Suicune",雷公，炎帝，水君,"Raikou, Entei, Suicune",404,404,"Moltres, Zapdos, Articuno",火焰鳥，閃電鳥，急凍鳥,"Moltres, Zapdos, Articuno",404,404,"Regirock, Registeel, Regice",雷吉洛克，雷吉斯奇魯，雷吉艾斯,"Regirock, Registeel, Regice",404,404,"Dialga, Palkia, Giratina",帝牙盧卡，帕路奇亞，騎拉帝納,"Dialga, Palkia, Giratina",404,404,1,
55,2,50,205,"In movie [Detective Pikachu], which Pokémon did not appeared ?",大電影【名偵探皮卡丘】中，沒有出現過的精靈是哪一只？,"In movie [Detective Pikachu], which Pokémon did not appeared ?",404,404,Abomasnow,暴雪王,Abomasnow,404,404,Bouffalant,爆炸頭水牛,Bouffalant,404,404,Riolu,利歐路,Riolu,404,404,Mr. Mime,魔墻人偶,Mr. Mime,404,404,1,
56,2,50,205,Which year did movie [Mewtwo Strikes Back: Evolution] been released in Japan?,劇場版動畫【超夢的逆襲:進化】在日本上映於哪一年？,Which year did movie [Mewtwo Strikes Back: Evolution] been released in Japan?,404,404,2019,2019,2019,404,404,2020,2020,2020,404,404,1998,1998,1998,404,404,2018,2018,2018,404,404,1,
57,2,50,205,"In movie [Pokémon the Movie: I Choose You! ], after Ash fell to the ground by shock wave, what did Pikachu say that touched people to tears?",劇場版動畫【就決定是你了!】中，在小智受到沖擊波攻擊倒地之後，皮卡丘開口說了一句什麽話，令人感動落淚？,"In movie [Pokémon the Movie: I Choose You! ], after Ash fell to the ground by shock wave, what did Pikachu say that touched people to tears?",404,404,"""Because...because...want to stay...together""",",因為...因為...想一直...在一起","""Because...because...want to stay...together""",404,404,"""Goodbye... See you~""",再...見~,"""Goodbye... See you~""",404,404,"""The appointment... is set, goodbye~""",約..定好了，再見~,"""The appointment... is set, goodbye~""",404,404,“Thunderbolt!”,十萬伏特!,“Thunderbolt!”,404,404,1,
58,2,50,205,"In movie [Pokémon: Destiny Deoxys], which city system's paralysis caused the paralysis of the pokéball management system, making everyone's pokéball unusable?",劇場版動畫【裂空的訪問者 代歐奇希斯】中，哪個城市系統的癱瘓導致了精靈球管理系統的癱瘓，使得所有人的精靈球都無法使用？,"In movie [Pokémon: Destiny Deoxys], which city system's paralysis caused the paralysis of the pokéball management system, making everyone's pokéball unusable?",404,404,LaRousse City,拉魯斯市,LaRousse City,404,404,Cerosi Town,賽羅斯鎮,Cerosi Town,404,404,Purika City,普裏加市,Purika City,404,404,Castelia City,飛雲市,Castelia City,404,404,1,
59,2,50,205,"In movie [Pokémon: The Rise of Darkrai], who are the 3 legendary Pokémon that appear?",劇場版動畫【決戰時空之塔】中，出現的3只神獸精靈是？,"In movie [Pokémon: The Rise of Darkrai], who are the 3 legendary Pokémon that appear?",404,404,"Dialga, Palkia, Darkrai",帝牙盧卡 帕路奇亞 達克萊伊,"Dialga, Palkia, Darkrai",404,404,Dialga Palkia Giratina,帝牙盧卡 帕路奇亞 騎拉帝納,Dialga Palkia Giratina,404,404,Dialga Giratina Darkrai,帝牙盧卡 騎拉帝納 達克萊伊,Dialga Giratina Darkrai,404,404,"Giratina, Palkia, Darkrai",騎拉帝納 帕路奇亞 達克萊伊,"Giratina, Palkia, Darkrai",404,404,1,
60,2,20,206,"In this game, which of the following Pokémon cannot be used as the material for Pokémon to star up?",本遊戲中，以下哪種精靈不能作為精靈升星的材料？,"In this game, which of the following Pokémon cannot be used as the material for Pokémon to star up?",404,404,An Pokémon of the same series that has been full star,一只已滿星級的同系列精靈,An Pokémon of the same series that has been full star,404,404,Ditto,百變怪,Ditto,404,404,Pokémon of same series that combined by universal shards,萬能碎片轉化合成而來的同系列精靈,Pokémon of same series that combined by universal shards,404,404,Untrained Pokémon of the same series,未培養的同系列精靈,Untrained Pokémon of the same series,404,404,1,
61,2,20,206,"In this game, the Pokémon's extreme attribute training will start after the full star. Which of the following status cannot be improved?",本遊戲中，滿星後會開啟精靈極限屬性培養，以下哪個屬性無法得到提升？,"In this game, the Pokémon's extreme attribute training will start after the full star. Which of the following status cannot be improved?",404,404,speed,速度,speed,404,404,Block Break rate,破抵禦,Block Break rate,404,404,Crit rate,暴擊率,Crit rate,404,404,Crit resist,暴擊抗性,Crit resist,404,404,1,
62,2,20,206,"In this game, which of the following systems can get the bonus of gameplay privileges for free?",本遊戲中，以下哪個系統可以免費獲得到玩法特權加成？,"In this game, which of the following systems can get the bonus of gameplay privileges for free?",404,404,Adventure license,冒險執照,Adventure license,404,404,vip,vip,vip,404,404,Monthly card,月卡,Monthly card,404,404,Passport,通行證,Passport,404,404,1,
63,2,20,206,"In this game, which one of the following statements about Gym is wrong?",本遊戲中，以下關於道館說法錯誤是哪一項？,"In this game, which one of the following statements about Gym is wrong?",404,404,The weekly gym log can be kept forever,每周的道館日誌可以永久保存,The weekly gym log can be kept forever,404,404,Gym dungeon will be reset every week,道館副本每周重置,Gym dungeon will be reset every week,404,404,The difficulty of Gym dungeon is affected by own CP,道館副本難度受自身戰鬥力影響,The difficulty of Gym dungeon is affected by own CP,404,404,Can get badge enhancement materials,可以獲得徽章強化材料,Can get badge enhancement materials,404,404,1,
64,2,20,206,"In this game, what can be obtained to build Pokémon by challenging the adventure road?",本遊戲中，挑戰冒險之路可以獲得培養精靈的什麽？,"In this game, what can be obtained to build Pokémon by challenging the adventure road?",404,404,Effort value,努力值,Effort value,404,404,Potential,潛能,Potential,404,404,Runes,符石,Runes,404,404,Star,星級,Star,404,404,1,
65,2,20,206,"In this game, Indigo Conference can auto register after reaches which VIP level?",本遊戲中，玩家vip等級達到多少後，石英大會可以每天自動報名？,"In this game, Indigo Conference can auto register after reaches which VIP level?",404,404,3,3,3,404,404,5,5,5,404,404,4,4,4,404,404,2,2,2,404,404,1,
