"﻿变量名",name,name_tw,name_en,name_vn,name_kr,type,classify,attrAdd,stackMax,theme,icon,res,startResScale,attr,interactivityAttr,roleActionDatas,size,touchSize,relSize,startPos,position,quality,currentNum,languages
52001,Double Bed,雙人床,Double Bed,Giường đôi,2인용 침대,3,0,{1=6385},1,2,city/homeland/home/icon/furniture/bed.png,city/homeland/home/item/furniture/bed.png,0.8,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-15;y=70}},,{width=4; height=3},{width=4;height=3;off={offWidth=2;offHeight=1}},{width=4;height=3;off={offWidth=2;offHeight=1}},{x=-300; y=25},5,,,
52002,Refrigerator,冰箱,Refrigerator,Tủ lạnh,냉장고,3,1,{8=275},1,2,city/homeland/home/icon/furniture/bingxiang.png,city/homeland/home/item/furniture/bingxiang.png,1,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=3;offHeight=3}},{width=2;height=2;off={offWidth=3;offHeight=3}},{x=-125; y=14},5,,,
52003,Carton,搬家紙箱,Carton,Hộp giấy chuyển nhà,이삿짐 박스,3,0,{1=2335},3,2,city/homeland/home/icon/furniture/box.png,city/homeland/home/item/furniture/box.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=2;offHeight=2}},{width=2;height=1;off={offWidth=2;offHeight=2}},{x=-160; y=0},5,,,
52004,Vertical Floor Lamp,立式地燈,Vertical Floor Lamp,Đèn cây,스텐드 등,3,1,{1=1645},4,1,city/homeland/home/icon/furniture/deng.png,city/homeland/home/item/furniture/deng.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=2;offHeight=2}},{width=1;height=1;off={offWidth=2;offHeight=2}},{x=-40; y=20},5,,,
52005,Cute Partition,可愛隔斷,Cute Partition,Vách ngăn dễ thương,귀여운 가로막,3,2,{8=185},2,1,city/homeland/home/icon/furniture/geduan.png,city/homeland/home/item/furniture/geduan.png,1,{flip=true},,,{width=1; height=3},{width=2;height=3;off={offWidth=2;offHeight=2}},{width=2;height=3;off={offWidth=2;offHeight=2}},{x=-55; y=12},5,,,
52006,Skateboard,滑板,Skateboard,Ván trượt,보드,3,2,{1=2225},3,2,city/homeland/home/icon/furniture/huaban.png,city/homeland/home/item/furniture/huaban.png,1,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=0;offHeight=0}},{width=1;height=2;off={offWidth=0;offHeight=0}},{x=-55; y=17},5,,,
52007,Full-Length Mirror,全身鏡,Full-Length Mirror,Gương toàn thân,전신 거울,3,0,{7=295},2,2,city/homeland/home/icon/furniture/mirror.png,city/homeland/home/item/furniture/mirror.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=2;offHeight=3}},{width=1;height=1;off={offWidth=2;offHeight=3}},{x=-50; y=0},5,,,
52008,Acoustics,音響,Acoustics,Âm thanh,음향,3,0,{7=255},4,2,city/homeland/home/icon/furniture/yinxiang.png,city/homeland/home/item/furniture/yinxiang.png,1.1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0}},{width=1;height=1;off={offWidth=0;offHeight=0}},{x=-45; y=10},5,,,
52009,Rotating Cup,轉杯,Rotating Cup,Cốc xoay,컵,3,0,{1=7980},1,2,city/homeland/home/icon/furniture/zhuanbei.png,home/zhuanbei/zhuanbei.json,1,{flip=true},,,{width=5; height=5},{width=5;height=5;off={offWidth=0;offHeight=0}},{width=5;height=5;off={offWidth=0;offHeight=0}},{x=-5; y=250},5,,,
52010,Desk,寫字臺,Desk,Bàn làm việc,책상,3,1,{7=800},1,2,city/homeland/home/icon/furniture/shuzhuo.png,city/homeland/home/item/furniture/shuzhuo.png,0.9,{flip=true},,,{width=2; height=4},{width=2;height=4;off={offWidth=1;offHeight=1}},{width=2;height=4;off={offWidth=1;offHeight=1}},{x=-145; y=30},5,,,
52011,Sky Blue Sofa,天藍沙發,Sky Blue Sofa,Sofa xanh,파란색 소파,3,2,{7=495},2,2,city/homeland/home/icon/furniture/sofa.png,city/homeland/home/item/furniture/sofa.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-25;y=50}},,{width=2; height=3},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-130; y=5},5,,,
52012,D Brand Tv,D牌電視,D Brand Tv,TV hãng D,D브랜드 TV,3,1,{7=1000},1,2,city/homeland/home/icon/furniture/tv.png,home/tv/tv.json,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=2;offHeight=2}},{width=2;height=1;off={offWidth=2;offHeight=2}},{x=-35; y=60},5,,,
52013,Bear Doll Carpet,熊仔地毯,Bear Doll Carpet,Thảm hình gấu,곰 인형 카펫,3,0,{7=380},2,2,city/homeland/home/icon/furniture/tanzi.png,city/homeland/home/item/furniture/tanzi.png,1,{flip=true;walk=true},,,{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=-185; y=20},5,,,
52014,Bear Doll,熊仔玩偶,Bear Doll,Gấu bông,공인형 장난감,3,1,{7=650},1,2,city/homeland/home/icon/furniture/wanou.png,city/homeland/home/item/furniture/xiong.png,1,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=1;offHeight=1}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-50; y=10},5,,,
52015,Lowe Dining Table,矮式餐桌,Lowe Dining Table,Bàn ăn thấp,낮은 식탁,3,2,{7=400},2,1,city/homeland/home/icon/furniture/zhuozi.png,city/homeland/home/item/furniture/zhuozi.png,1,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=0;offHeight=0}},{width=2;height=2;off={offWidth=0;offHeight=0}},{x=-130; y=0},5,,,
52016,Seesaw,蹺蹺板,Seesaw,Bập bênh,시소,3,2,{8=360},1,2,city/homeland/home/icon/furniture/qiaoqiaoban.png,home/qiaoqiaoban/qiaoqiaoban.json,1,{interactivity=true;interactivityTime=300},{interactivityName=standby_loop;interactFurnName=qiaoqiaoban_loop;roleActionName=jump;off={x=70;y=-15}},{endPos={x=-210;y=70};time=0.9;height=60;count=1},{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=5; y=120},5,,,
52017,Kaffir Lily,君子蘭,Kaffir Lily,Lan quân tử,군자란,3,1,{7=175},4,1,city/homeland/home/icon/furniture/zhiwu.png,city/homeland/home/item/furniture/zhiwu.png,0.85,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=2;offHeight=2}},{width=1;height=1;off={offWidth=2;offHeight=2}},{x=-70; y=5},5,,,
52018,Tent,帳篷,Tent,Lều,텐트,3,0,{8=300},1,2,city/homeland/home/icon/furniture/zhangpeng.png,city/homeland/home/item/furniture/zhangpeng.png,1,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=1;offHeight=1}},{width=2;height=2;off={offWidth=1;offHeight=1}},{x=-130; y=5},5,,,
52019,Swing,秋千,Swing,Xích đu,그네,3,0,{8=380},1,2,city/homeland/home/icon/furniture/qiuqian.png,home/qiuqian/qiuqian.json,0.9,{interactivity=true;interactivityTime=15},{interactivityName=standby_loop;interactFurnName=qiuqian_loop;roleActionName=sway;off={x=100;y=105}},{spine=home/qiuqian/qiuqian.json;effectName=qiuqian2_loop},{width=3; height=3},{width=3;height=3;off={offWidth=4;offHeight=4}},{width=3;height=3;off={offWidth=4;offHeight=4}},{x=0; y=120},5,,,
52020,Reel Low Table,卷軸矮桌,Reel Low Table,Bàn cuộn,족자 탁자,3,0,{7=295},2,1,city/homeland/home/icon/furniture/zhuozijuanzhou.png,city/homeland/home/item/furniture/zhuozijuanzhou.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=0;offHeight=1}},{width=2;height=1;off={offWidth=0;offHeight=1}},{x=-120; y=25},5,,TRUE,
52021,Japanese Table Blanket,日式桌毯,Japanese Table Blanket,Khăn trải bàn Nhật,일식 탁자포,3,1,{1=5775},1,1,city/homeland/home/icon/furniture/ditanhecha.png,city/homeland/home/item/furniture/ditanhecha.png,0.75,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=160;y=115}},,{width=3; height=6},{width=3;height=6;off={offWidth=0;offHeight=0}},{width=3;height=6;off={offWidth=0;offHeight=0}},{x=-218; y=20},5,,,
52022,Tatami,榻榻米,Tatami,Chiếu Tatami,다다미,3,2,{1=6080},1,1,city/homeland/home/icon/furniture/tatami.png,city/homeland/home/item/furniture/tatami.png,0.635,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-35;y=50}},,{width=2; height=3},{width=2;height=3;off={offWidth=0;offHeight=0}},{width=2;height=3;off={offWidth=0;offHeight=0}},{x=-160; y=7},5,,,
52023,Candle Light,蠟燭燈,Candle Light,Đèn hình nến,촛등,3,0,{8=85},4,1,city/homeland/home/icon/furniture/lazhudeng.png,city/homeland/home/item/furniture/lazhudeng.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=3;offHeight=3}},{width=1;height=1;off={offWidth=3;offHeight=3}},{x=-50; y=20},5,,,
52024,Floating Carpet,浮繪地毯,Floating Carpet,Thảm hoa nổi,그림체 카펫,3,1,{7=325},2,1,city/homeland/home/icon/furniture/tanzi2.png,city/homeland/home/item/furniture/tanzi2.png,1,{flip=true;walk=true},,,{width=4; height=2},{width=3;height=2;off={offWidth=0;offHeight=0}},{width=3;height=2;off={offWidth=0;offHeight=0}},{x=-318; y=0},5,,TRUE,
52025,Peach Branch,桃花枝,Peach Branch,Cành hoa đào,복숭아꽃 가지,3,1,{8=80},4,1,city/homeland/home/icon/furniture/zhiwu1.png,city/homeland/home/item/furniture/zhiwu1.png,1.1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0.2}},{width=1;height=1;off={offWidth=0;offHeight=0.2}},{x=-40; y=20},5,,,
52026,Hyacinth,風信子,Hyacinth,Hoa dạ lan,히아신스,3,2,{7=165},4,1,city/homeland/home/icon/furniture/zhiwu2.png,city/homeland/home/item/furniture/zhiwu2.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0}},{width=1;height=1;off={offWidth=0;offHeight=0}},{x=-40; y=20},5,,,
52027,Paper Partition,帖紙隔斷,Paper Partition,Vách ngăn giấy,스티커 가로막,3,2,{7=310},2,1,city/homeland/home/icon/furniture/geduan1.png,city/homeland/home/item/furniture/geduan1.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=3;offHeight=3}},{width=2;height=1;off={offWidth=3;offHeight=3}},{x=-140; y=10},5,,TRUE,
52028,Wind Chime Partition,風鈴隔斷,Wind Chime Partition,Vách ngăn chuông gió,풍령 가로막,3,0,{8=125},2,1,city/homeland/home/icon/furniture/geduan2.png,city/homeland/home/item/furniture/geduan2.png,1,{flip=true},,,{width=3; height=1},{width=3;height=1;off={offWidth=3;offHeight=2.5}},{width=3;height=1;off={offWidth=3;offHeight=2.5}},{x=-210; y=10},5,,,
52029,Wooden Desk,原木書桌,Wooden Desk,Bàn gỗ,원목 책상,3,2,{8=235},1,1,city/homeland/home/icon/furniture/shuzhuo1.png,city/homeland/home/item/furniture/shuzhuo1.png,1,{flip=true},,,{width=3; height=2},{width=3;height=2;off={offWidth=0;offHeight=1}},{width=3;height=2;off={offWidth=0;offHeight=1}},{x=-240; y=35},5,,,
52030,Tea Table,茶桌,Tea Table,Bàn nước,차 테이블,3,0,{8=300},1,1,city/homeland/home/icon/furniture/fanzhuo.png,city/homeland/home/item/furniture/fanzhuo.png,1,{flip=true},,,{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=-175; y=35},5,,,
52031,Bathrobe Table,浴衣桌,Bathrobe Table,Bàn áo tắm,가운 테이블,3,0,{1=2595},2,1,city/homeland/home/icon/furniture/yifutaizi.png,city/homeland/home/item/furniture/yifutaizi.png,1,{flip=true},,,{width=1; height=3},{width=1;height=3;off={offWidth=1;offHeight=0}},{width=1;height=3;off={offWidth=1;offHeight=0}},{x=-60; y=15},5,,TRUE,
52032,Bathtub,浴缸,Bathtub,Bồn tắm,욕조,3,1,{1=7220},1,1,city/homeland/home/icon/furniture/yugang.png,home/bathtub/mutong.json,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=standby_loop;interactFurnName=kaiqi_loop;clip=true;off={x=-35;y=70}},,{width=3; height=2},{width=3;height=2;off={offWidth=1;offHeight=1}},{width=3;height=2;off={offWidth=1;offHeight=1}},{x=-90; y=60},5,,,
52033,Lazy Chair,懶人椅,Lazy Chair,Ghế lười,안락의자,3,1,{1=2345},2,1,city/homeland/home/icon/furniture/yizi.png,city/homeland/home/item/furniture/yizi.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-5;y=22}},,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-55; y=10},5,,TRUE,
52034,Lantern,燈籠,Lantern,Đèn lồng,등롱,3,0,{1=1815},4,1,city/homeland/home/icon/furniture/denglong.png,city/homeland/home/item/furniture/denglong.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-50; y=10},5,,,
52035,Love Chair,愛心椅,Love Chair,Ghế trái tim,하트 의자,3,1,{8=75},3,2,city/homeland/home/icon/furniture/chair.png,city/homeland/home/item/furniture/chair.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=standby_loop;off={x=5;y=100}},,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-60; y=25},5,,,
52036,Normal Tv,普通電視,Normal Tv,TV thường,일반 TV,3,2,{8=80},2,1,city/homeland/home/icon/furniture/dianshi.png,city/homeland/home/item/furniture/dianshi.png,1,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=1;offHeight=1}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-55; y=15},5,,TRUE,
52037,Rose Red Surfboard,玫紅衝浪板,Rose Red Surfboard,Ván lướt sóng đỏ,붉은 장미 서핑보드,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3chonglangb01.png,city/homeland/home/item/furniture/img_3chonglangb01.png,1.2,{flip=true},,,{width=1; height=1},{width=1;height=2;off={offWidth=4;offHeight=4}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-32;y=12},4,,,
52038,Watermelon Surfboard,西瓜衝浪板,Watermelon Surfboard,Ván lướt sóng dưa hấu,수박 서핑보드,3,1,{7=520},2,3,city/homeland/home/icon/furniture/img_3chonglangb02.png,city/homeland/home/item/furniture/img_3chonglangb02.png,1.2,{flip=true},,,{width=1; height=1},{width=1;height=2;off={offWidth=4;offHeight=4}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-32;y=12},4,,,
52039,Sea Blue Double Bed,海藍雙人床,Sea Blue Double Bed,Giường đôi xanh,2인용 사파이어 침대,3,2,{7=950},1,3,city/homeland/home/icon/furniture/img_3chuang01.png,city/homeland/home/item/furniture/img_3chuang01.png,0.9,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=0;y=70}},,{width=4; height=3},{width=4;height=3;off={offWidth=2;offHeight=1}},{width=4;height=3;off={offWidth=0;offHeight=0}},{x=-295; y=20},4,,,
52040,Children'S Bench,兒童板凳,Children'S Bench,Ghế trẻ ẻm,어린이 의자,3,0,{8=85},4,3,city/homeland/home/icon/furniture/img_3dengzi01.png,city/homeland/home/item/furniture/img_3dengzi01.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-15;y=50}},,{width=1; height=1},{width=1;height=1;off={offWidth=0.5;offHeight=0}},{width=1;height=1;off={offWidth=0.5;offHeight=0}},{x=-42;y=10},4,,,
52041,Starfish Carpet,海星地毯,Starfish Carpet,Thảm sao biển,불가사리 카펫,3,0,{7=720},1,3,city/homeland/home/icon/furniture/img_3ditan01.png,city/homeland/home/item/furniture/img_3ditan01.png,1,{flip=true;walk=true},,,{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=-145;y=35},4,,,
52042,Lifesaving Chair,救生高椅,Lifesaving Chair,Ghế cứu hộ,구명 의자,3,2,{1=4940},2,3,city/homeland/home/icon/furniture/img_3gaoyi.png,city/homeland/home/item/furniture/img_3gaoyi.png,1.1,{flip=true},,,{width=2; height=2},{width=2;height=3;off={offWidth=4;offHeight=2}},{width=2;height=3;off={offWidth=4;offHeight=2}},{x=-125;y=15},4,,,
52043,Viburnum,瓊花,Viburnum,Hoa Quỳnh,눈송이,3,1,{1=1645},4,3,city/homeland/home/icon/furniture/img_3huapen01.png,city/homeland/home/item/furniture/img_3huapen01.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-43;y=15},4,,,
52044,Beach Handbag,海灘手包,Beach Handbag,Túi đi biển,해변가 핸드백,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3lanzi01.png,city/homeland/home/item/furniture/img_3lanzi01.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=1;offHeight=1}},{width=2;height=1;off={offWidth=1;offHeight=1}},{x=-105;y=25},4,,,
52045,Spry Water Polo,明黃水球,Spry Water Polo,Bóng nước vàng,노란색 물공,3,0,{1=3370},2,3,city/homeland/home/icon/furniture/img_3qiu01.png,city/homeland/home/item/furniture/img_3qiu01.png,1.5,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-48;y=15},4,,,
52046,Celest Water Polo,天藍水球,Celest Water Polo,Bóng nước xanh,파란색 물공,3,1,{8=145},2,3,city/homeland/home/icon/furniture/img_3qiu02.png,city/homeland/home/item/furniture/img_3qiu02.png,1.5,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-48;y=15},4,,,
52047,Azure Water Polo,湛藍水球,Azure Water Polo,Bóng nước xanh đậm,짙푸른 물공,3,0,{8=160},2,3,city/homeland/home/icon/furniture/img_3qiu03.png,city/homeland/home/item/furniture/img_3qiu03.png,1.5,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-48;y=15},4,,,
52048,Sandcastle,沙堡,Sandcastle,Lâu đài cát,모래성,3,0,{7=905},1,3,city/homeland/home/icon/furniture/img_3shabao.png,city/homeland/home/item/furniture/img_3shabao.png,1.2,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=2;offHeight=1}},{width=2;height=2;off={offWidth=2;offHeight=1}},{x=-134;y=40},4,,,
52049,Leisure Couch,休閒沙發,Leisure Couch,Sofo thường,편안한 소파,3,0,{8=380},1,3,city/homeland/home/icon/furniture/img_3shafa01.png,city/homeland/home/item/furniture/img_3shafa01.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=15;y=65}},,{width=3; height=2},{width=3;height=2;off={offWidth=3;offHeight=4}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-160; y=20},4,,,
52050,Sand Bucket,沙桶,Sand Bucket,Xô cát,모래통,3,2,{7=400},2,3,city/homeland/home/icon/furniture/img_3shuiyong.png,city/homeland/home/item/furniture/img_3shuiyong.png,1.2,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=1;offHeight=1}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-65;y=20},4,,,
52051,Blue Lounge,水藍躺椅,Blue Lounge,Ghế nằm xanh,푸른색 침대식 의자,3,1,{8=145},2,3,city/homeland/home/icon/furniture/img_3tangyi01.png,city/homeland/home/item/furniture/img_3tangyi01.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-25;y=50}},,{width=2; height=3},{width=2;height=3;off={offWidth=0;offHeight=0}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-133; y=14},4,,,
52052,Rosy Lounge,玫紅躺椅,Rosy Lounge,Ghế nằm đỏ,붉은 장미 침대식 의자,3,2,{1=3950},2,3,city/homeland/home/icon/furniture/img_3tangyi02.png,city/homeland/home/item/furniture/img_3tangyi02.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-25;y=51}},,{width=2; height=3},{width=2;height=3;off={offWidth=3;offHeight=2}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-120; y=15},4,,,
52053,Watermelon Lounge,西瓜躺椅,Watermelon Lounge,Ghế nằm dưa hấu,수박 침대식 의자,3,0,{1=4150},2,3,city/homeland/home/icon/furniture/img_3tangyi03.png,city/homeland/home/item/furniture/img_3tangyi03.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-20;y=48}},,{width=2; height=3},{width=2;height=3;off={offWidth=3;offHeight=2}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-120; y=15},4,,,
52054,Life Buoy,救生圈,Life Buoy,Phao cứu sinh,구명 튜브,3,2,{1=4940},1,3,city/homeland/home/icon/furniture/img_3yongquan01.png,city/homeland/home/item/furniture/img_3yongquan01.png,1.1,{flip=true},,,{width=2; height=2},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{x=-70;y=24},4,,,
52055,Spry Life Buoy,明黃泳圈,Spry Life Buoy,Phao vàng,노란색 튜브,3,1,{1=5775},1,3,city/homeland/home/icon/furniture/img_3yongquan02.png,city/homeland/home/item/furniture/img_3yongquan02.png,1.1,{flip=true},,,{width=2; height=2},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{x=-70;y=24},4,,,
52056,Friendship Boat,友誼小船,Friendship Boat,Thuyền tình bạn,우정의 배,3,2,{7=760},1,3,city/homeland/home/icon/furniture/img_3zaopen01.png,home/zaopen.json,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=standby_loop;interactFurnName=kaiqi_loop;clip=true;off={x=85;y=100}},,{width=5; height=6},{width=5;height=6;off={offWidth=0;offHeight=0}},{width=5;height=6;off={offWidth=0;offHeight=0}},{x=40;y=200},4,,,
52057,Casual Table,休閒餐桌,Casual Table,Bàn ăn thường,릴렉스 식탁,3,0,{7=720},1,3,city/homeland/home/icon/furniture/img_3zhuozi01.png,city/homeland/home/item/furniture/img_3zhuozi01.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=2;offHeight=2}},{width=2;height=1;off={offWidth=2;offHeight=1}},{x=-150;y=20},4,,,
