"﻿变量名",huodongID,numText,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
9,101056,9,keep going Ⅲ,繼續向前Ⅲ,,,,Xiaozhi and the elves are marching on the road. The elves listened to Xiaozhi's dispatch and formed multiple teams to ensure everyone's safety during exploration,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2360;y=340},<<2030;480>;<2090;414>;<2234;368>;<2290;358>;<2360;340>>,8,180,,{8118=5},1,<4>,2,<2;1>,,,,,,,{rmb=50;2027=1}
10,101056,10,Crossing the river Ⅰ,過河Ⅰ,,,,"Xiaozhi and his party walked to the river. Seeing that the wooden bridge on the river was too thin to walk on, Xiaozhi planned to arrange for the elves to cross the river.",小智一行走到了河邊，眼見河上木橋單薄，不堪行走，小智打算安排精靈們趟河而過,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=2620;y=520},<<2360;340>;<2430;374>;<2504;428>;<2558;478>;<2620;520>>,9,720,,{8118=20},3,<1>,5,<1.8;1>,10,<3;1>,5,<3;1>,{501=1},,{gold=150000;902=10}
11,101056,11,crossing the river Ⅱ,過河Ⅱ,,,,"After wading through a river, they saw another wider river. Xiaozhi and the elves had to cross the river again",趟過了一條河，卻見另一條更寬大些的河，小智和精靈們不得不再次趟河而過,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=2940;y=290},<<2620;520>;<2740;386>;<2798;342>;<2866;316>;<2940;290>>,10,180,,{8118=5},1,<3>,11,<3>,,,,,,,{gold=150000;967=1}
12,101056,12,trapeze,空中飛人,,,,"Xiaozhi and his party finally left the river and came to the foot of a stretch of green hills, the mountains towering into the clouds, Xiaozhi planned to let himself ""fly"" up",小智一行終於離河而去，來到了片綿延的青山腳下，山高聳入雲，小智打算讓自己“飛”上去,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=3068;y=660},<<2940;290>;<2980;434>;<3030;574>;<3068;660>>,11,360,,{8118=10},5,<1.5;1>,11,<10;2>,,,,,,,{rmb=50;20701=10}
13,101056,13,bonfire,篝火,,,,"It's really cold in the mountains covered by trees all the year round, Xiaozhi wants to make a fire, he needs the help of the elves",在常年樹蔭遮蔽的群山中可真有點寒冷，小智打算生火，他需要精靈們的幫助,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=3300;y=870},<<3068;660>;<3168;786>;<3300;870>>,12,480,,{8118=15},6,<1;2>,9,<60;1>,2,<2;2>,,,,,{gold=300000;850=100}
14,101056,14,expedition preparation,探險準備,,,,"After crossing the mountains and forests, there is a vast desert area in front of you. The climate seems to be hot suddenly. You must be prepared to enter the desert",翻越山林，眼前是一處廣袤無垠的大漠區域，氣候好似突然炎熱起來，進入荒漠可要做好準備,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=3534;y=732},<<3300;870>;<3398;776>;<3460;750>;<3534;732>>,13,720,,{8118=20},3,<21>,4,<0;2;2>,11,<3>,11,<4;2>,{rmb=50},,{gold=300000;2103=10}
15,101056,15,clear the trap,清理陷阱,,,,"Xiaozhi and his party need to pass through a waist-high grass, but there seems to be a trap set by a hunter in the grass, which is very dangerous and needs to be cleared",小智一行需要穿過一片齊腰的草叢，但草叢內好像有獵人設置的陷阱，很是危險，需要清理掉,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=3830;y=960},<<3534;732>;<3554;798>;<3588;852>;<3712;926>;<3830;960>>,14,360,,{8118=10},1,<4>,4,<0;1;2>,8,<25;1>,,,,,{rmb=100;talent_point=5}
16,101056,16,keep going Ⅳ,繼續向前Ⅳ,,,,Xiaozhi and the elves are marching on the road. The elves listened to Xiaozhi's dispatch and formed multiple teams to ensure everyone's safety during exploration,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4170;y=940},<<3830;960>;<3902;970>;<3980;970>;<4048;958>;<4096;946>;<4170;940>>,15,360,,{8118=10},1,<4>,2,<5;1>,2,<10;1>,,,,,{gold=300000;501=3}
17,101056,17,Strange circle,怪圈,,,,"The grass on the side of the road seemed to have been crushed, stretching for several miles, it looked very abrupt, Xiaozhi led the elves and decided to take a closer look",路邊的草像是被碾壓過一樣，綿延數裏，看著很是突兀，小智帶著精靈們決定走近些觀察,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4170;y=550},<<4170;940>;<4308;852>;<4318;768>;<4294;686>;<4272;634>;<4236;590>;<4170;550>>,16,720,,{8118=20},3,<91>,7,<50;2>,9,<60;1>,,,,,{gold=300000;20701=15}
18,101056,18,continue forward Ⅴ,繼續向前Ⅴ,,,,Xiaozhi and the elves are marching on the road. The elves listened to Xiaozhi's dispatch and formed multiple teams to ensure everyone's safety during exploration,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4480;y=320},<<4170;550>;<4280;430>;<4326;390>;<4398;350>;<4480;320>>,17,180,,{8118=5},2,<1;1>,9,<25;2>,,,,,,,{rmb=100;930=100}
19,101056,19,The source of life,生命之源,,,,"Xiaozhi and his entourage kept rushing on the road and were extremely thirsty, and finally saw lush plants on the side of the road, let's use them to get some source of life",小智一行不停的趕路口渴至極，終於看見路邊有郁蔥的植物了，就用它們獲取一些生命之源吧,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4630;y=652},<<4480;320>;<4512;426>;<4514;480>;<4534;534>;<4538;570>;<4580;608>;<4630;652>>,18,360,,{8118=10},2,<4;3>,9,<35;1>,,,,,,,{gold=300000;2416=1}
20,101056,20,Fork in the road Ⅰ,岔路Ⅰ,,,,"When I first entered the desert, I ran into a fork in the road. The path was narrow and narrow, but the scenery was good. Xiaozhi planned to send an expedition team to check it out.",初入大漠，就碰上了岔路，小路細窄，但隱約可見風光不錯，小智打算派一個探險小分隊查看,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4920;y=740},<<4630;652>;<4770;696>;<4920;740>>,19,720,,{8118=20},3,<91>,1,<4>,7,<50;1>,9,<80;1>,{502=2},,{gold=300000;529=1000}
21,101056,21,Extinguishing,滅火,,,,"The scorching sun scorched the earth, and even set a dead tree on the side of the road on fire. The thick black smoke and heat blocked the road, and the fire needed to be extinguished immediately",烈日灼曬大地，竟然使路邊的一顆枯樹著起火來，濃烈的黑煙和熱氣擋住了路，需要即刻滅火,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5124;y=520},<<4920;740>;<5000;626>;<5050;558>;<5124;520>>,20,180,,{8118=5},3,<21>,1,<4>,,,,,,,{rmb=100;2241=1}
22,101056,22,looking for Ⅱ,尋找Ⅱ,,,,"Next to the road is a small hill, which has been weathered into a unique shape by the desert climate. Are there new elves living here?",道路的旁邊是一座小山頭，大漠的氣候將它風化成獨特的樣子，這裏是否住著新的精靈呢？,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5482;y=652},<<5124;520>;<5168;480>;<5236;472>;<5292;488>;<5362;554>;<5408;610>;<5482;652>>,21,360,,{8118=10},1,<4>,10,<3;2>,11,<2;15>,,,,,{gold=300000;20701=15}
23,101056,23,Impassable,不可通行,,,,"This is obviously the fastest place to go to the town, but there is no road ahead, Xiaozhi decided to find out the terrain in multiple ways",這裏明明是最快前往小鎮的地方，但前方卻沒了道路，小智決定在兵分多路弄清地形,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5554;y=916},<<5482;652>;<5468;716>;<5440;770>;<5464;842>;<5502;880>;<5554;916>>,22,720,,{8118=20},2,<9;1>,2,<10;1>,2,<11;1>,,,,,{gold=300000;5000=100}
24,101056,24,Help others,助人為樂,,,,"It seems that the road leading to the town can be seen in front, and beside the road, it seems that someone is planting green plants, so Xiaozhi decided to join in and help",前面似乎能看到道路通向了小鎮，在路的旁邊，似乎有人在種綠植，小智決定加入幫忙,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5772;y=592},<<5554;916>;<5650;774>;<5696;608>;<5772;592>>,23,180,,{8118=5},4,<0;2;1>,10,<3;2>,,,,,,,{rmb=100;974=1}
25,101056,25,Fork in the road Ⅱ,岔路Ⅱ,,,,"This is the second time we found a fork in the desert. According to the previous experience, Xiaozhi and the elves don't want to miss the ""treasure"" just like that",這是第2次在大漠發現岔路，根據上一次的經驗，小智和精靈們可不想就這麼錯過“寶藏”,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5958;y=748},<<5772;592>;<5814;638>;<5852;676>;<5958;748>>,24,720,,{8118=20},1,<4>,2,<8;1>,2,<10;2>,5,<1.5;1>,{501=1},,{gold=300000;4000=500}
26,101056,26,Asking the way Ⅰ,問路Ⅰ,,,,"There is a short house not far from the road, which seems to be inhabited, Xiaozhi plans to take a few elves to ask for directions",在路邊不遠處有一棟矮房子，像是有人居住，小智打算帶幾個精靈前往問路,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6318;y=664},<<5958;748>;<6112;672>;<6166;662>;<6226;654>;<6318;664>>,25,180,,{8118=5},6,<2;2>,10,<2;2>,,,,,,,{gold=300000;2152=1}
27,101056,27,Ask the way Ⅱ,問路Ⅱ,,,,"According to the instructions of the residents, Xiaozhi and his party quickly found a small town not far away. It was getting late at night, so Xiaozhi planned to quickly find a place to stay",按住民的指示，小智一行很快找到了不遠處的小鎮，夜色已晚，小智打算快速找到住宿的地方,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6180;y=1040},<<6318;664>;<6328;728>;<6266;880>;<6180;1040>>,26,360,,{8118=10},2,<1;1>,4,<0;2;2>,9,<45;1>,,,,,{rmb=100;20701=15}
28,101056,28,Fork in the road Ⅲ,岔路Ⅲ,,,,"Another fork in the road! It's just that this fork in the road seems to extend to a very far place, so you need to be very careful on this road",又又又一條岔路！只是這次岔路看起來延伸至到很遠的地方，這路上可需萬分小心,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6462;y=1008},<<6180;1040>;<6322;1014>;<6462;1008>>,27,480,,{8118=20},3,<91>,2,<5;2>,9,<65;1>,1,<4>,{521=1},,{gold=300000;604=10}
29,101056,29,All ready to go,整裝待發,,,,"In the hot weather, many elves feel tired after traveling many times. Maybe some homemade ice food can relieve the heat?",炎熱的天氣下，多次行進讓許多精靈感到疲憊，或許可以自制一些冰制食物可以緩解暑氣？,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6980;y=980},<<6462;1008>;<6634;996>;<6834;976>;<6980;980>>,28,360,,{8118=10},10,<3;1>,2,<3;1>,2,<6;1>,,,,,{gold=300000;529=2000}
30,101056,30,sunny beach,陽光沙灘,,,,"At the end of the road is the endless sea, the scenery is really unique. Xiaozhi and his party plan to stay here for a while and start their vacation time!",路的盡頭是一望無際的大海，景色可真是別有天地。小智一行便打算於此小駐，開啟度假時光！,,,,common/icon/icon_box1.png,,activity/dispatch/box1_51send.png,3,1,{x=7252;y=650},<<6980;980>;<7144;974>;<7264;898>;<7304;796>;<7252;650>>,29,0,,{8118=20},,,,,,,,,,,{rmb=100;521=6}
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101056,2~1,Find Ⅰ,尋找Ⅰ,,,,"Xiaozhi and the elves accidentally discovered a jungle full of business, and the trainer's intuition told him that there might be new elves here",小智和精靈們意外發現了一片生意盎然的叢林，訓練家的直覺告訴他這裏可能會有新精靈,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=1024;y=990},<<866;812>;<918;914>;<962;970>;<1024;990>>,2,30,,{8118=2},1,<4>,2,<2;1>,2,<5;1>,,,,,{coin1=800;503=1}
42,101056,4~1,spring harvest,春天的收獲,,,,"At the end of the path is a wild field, which bears a lot of wild fruits from a distance. It just so happens that there are agricultural tools on the side of the road, so Xiaozhi decides to pick them.",小路的盡頭是一片茂野的田地，遠看結了不少野果，恰巧路邊有農用器具，小智決定去采摘,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=1632;y=474},<<1478;746>;<1582;690>;<1672;592>;<1672;528>;<1632;474>>,4,180,,{8118=5},9,<25;1>,10,<2;3>,,,,,,,{coin2=800;519=1}
43,101056,4~2,really fragrant,真香,,,,"Sure enough, it is a field that has been abandoned for a long time. Although the weeds grow wildly, it also bears a lot of fruit, which is enough for Xiaozhi and the elves to have a full meal",果然是一片棄用已久的田地，雖雜草瘋長但也結了不少的果實，足夠小智和精靈們飽餐一頓了,,,,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,1,{x=1322;y=386},<<1632;474>;<1486;432>;<1322;386>>,42,0,,{8118=10},,,,,,,,,,,{coin3=800;520=1}
44,101056,7~1,pick,采摘,,,,"The leaves of the forest are needle-shaped and many. Although the fruit is good, it still takes a lot of effort to pick it. With the help of the elves, it will definitely be eaten soon.",樹林的葉子呈針狀且多，果實雖好但還需費力采摘，如果有精靈的幫忙那一定很快能吃上,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=2204;y=656},<<2392;858>;<2314;750>;<2204;656>>,7,360,,{8118=5},6,<1;1>,9,<40;1>,10,<2;2>,,,,,{gold=200000;522=2}
45,101056,7~2,feast on,大快朵頤,,,,"Although it took a lot of effort to get the fruit, the fruit is sweet and juicy, delicious and thirst-quenching, making Xiaozhi and the elves unable to stop eating it",雖然取果實花了不少氣力，但是果實甘甜多汁，鮮香解渴，簡直讓小智和精靈們吃到停不下來,,,,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,1,{x=1888;y=708},<<2204;656>;<2150;654>;<2048;660>;<1982;672>;<1888;708>>,44,0,,{8118=20},,,,,,,,,,,{coin1=800;531=1}
46,101056,10~1,Treasure at the bottom of the river,河底的寶藏,,,,"The elves found a lot of ""treasure"" at the bottom of the upper river! But the river is fast, so you need the help of the elves who are good at water",精靈們在上流的河底發現了大量“寶藏”！但河水湍急，這就需要擅水的精靈們的幫助啦,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_jqr.png,activity/dispatch/box1_51send.png,2,5,{x=2794;y=880},<<2620;520>;<2694;644>;<2750;756>;<2794;880>>,10,480,,{8118=10},3,<21>,7,<10;2>,11,<10>,9,<100;1>,,120,{coin2=800;503=1}
47,101056,14~1,cave at the foot of the mountain,山腳洞穴,,,,"The elf found a hidden cave at the foot of the mountain. The cave is small, and there seems to be a faint light. Could it be another treasure?",精靈在山腳處發現一個隱蔽的洞口，洞口很小，仿佛有隱隱光亮，該不會又是寶藏吧？,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_aqm.png,activity/dispatch/box2_51send.png,2,5,{x=3600;y=340},<<3534;732>;<3634;638>;<3662;482>;<3600;340>>,14,600,,{8118=10},3,<11>,1,<4>,2,<2;2>,9,<100;1>,,120,{coin3=800;519=1}
48,101056,17~1,treasure in the sky,空中的寶藏,,,,"The flying elf told Xiaozhi that it looked like a road map was drawn from above, and they followed the route and found a big treasure chest!",飛屬性的精靈告訴小智，從上面看仿佛畫了一個路線圖，他們隨著路線，找到了一個大寶箱！,,,,common/icon/icon_box1.png,,activity/dispatch/box_51send.png,3,1,{x=3952;y=510},<<4170;550>;<3952;510>>,17,0,,{8118=20},,,,,,,,,,,{gold=200000;520=1}
49,101056,20~1,small mine,小型礦洞,,,,"The team found that the end of the road was a mine. The entrance of the mine was very large, and there were many large forklifts piled up at the door. It seemed that it took a lot of effort.",小分隊發現這路的盡頭是個礦洞，礦洞洞口很大，門口堆了不少大型叉車，看來得費寫功夫,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_cz.png,activity/dispatch/box_51send.png,2,3,{x=4600;y=1000},<<4920;740>;<4816;836>;<4680;934>;<4600;1000>>,20,720,,{8118=10},1,<4>,9,<80;2>,11,<2;5>,10,<3;4>,,180,{coin1=800;522=2}
50,101056,23~1,Windfall,意外收獲,,,,"This road is under renovation and does not lead to the town. Fortunately, the elves found the treasure chest, and there are many things in it!",這條路正在翻修中，並不通往小鎮，幸運的是精靈們竟然發現了寶箱，裏面有不少東西呢！,,,,common/icon/icon_box1.png,,activity/dispatch/box_51send.png,3,1,{x=5230;y=980},<<5554;916>;<5384;960>;<5230;980>>,23,0,,{8118=20},,,,,,,,,,,{coin2=800;531=1}
51,101056,25~1,large mine,大型礦洞,,,,"Sure enough, the team found another mine, which looked much bigger than last time, and the elves were already ready",果不其然，小分隊又發現了個礦洞，這礦洞看著比上次的大了不少，精靈們早已準備就緒,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_cz.png,activity/dispatch/box_51send.png,2,3,{x=5964;y=346},<<5958;748>;<5944;538>;<5964;346>>,25,720,,{8118=10},9,<100;2>,10,<3;4>,,,10,<4;1>,,240,{coin3=800;503=2}
52,101056,28~1,to march,行進,,,,"Seeing that it has been traveling for a long time, it seems that there is no new progress, let alone a strange cave, so the team decided to go further.",眼看行進了大半天，好像並沒有新的進展，更不要說奇怪的洞穴了，小分隊決定再往前探探,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box_51send.png,2,1,{x=6628;y=660},<<6462;1008>;<6506;854>;<6544;708>;<6628;660>>,28,180,,{8118=3},1,<4>,9,<30;2>,,,,,,,{gold=200000;519=1}
53,101056,28~2,keep going,繼續行進,,,,"Not to mention mines on the fork in the road, not even a pit, some elves in the team were exhausted, and the remaining elves decided to move on",岔路上不說礦洞，就連地坑都沒見著1個，分隊裏有精靈已經力竭，剩余精靈決定繼續向前,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box_51send.png,2,1,{x=6886;y=376},<<6628;660>;<6728;630>;<6774;486>;<6814;422>;<6886;376>>,52,180,,{8118=3},4,<0;1;2>,9,<30;1>,,,,,,,{coin1=800;520=1}
